"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        Owner-occupied","321,870","±5,394","54.6%","±0.9","1,568,009","±14,971","46.5%","±0.4","43,293","±2,650","51.0%","±3.0","608,989","±7,262","56.5%","±0.7","522,043","±8,635","68.2%","±0.9","631,760","±7,363","54.3%","±0.6","78,081","±2,879","51.9%","±1.9","58,798","±2,443","60.4%","±2.4","41,470","±2,144","54.0%","±2.5"
"        Renter-occupied","267,310","±6,151","45.4%","±0.9","1,807,578","±14,022","53.5%","±0.4","41,674","±2,734","49.0%","±3.0","468,204","±7,857","43.5%","±0.7","243,630","±7,224","31.8%","±0.9","531,136","±7,829","45.7%","±0.6","72,469","±3,304","48.1%","±1.9","38,555","±2,562","39.6%","±2.4","35,374","±2,056","46.0%","±2.5"
"        Average household size of owner-occupied unit","2.91","±0.04","(X)","(X)","3.07","±0.02","(X)","(X)","3.27","±0.14","(X)","(X)","2.94","±0.03","(X)","(X)","3.21","±0.03","(X)","(X)","2.82","±0.03","(X)","(X)","2.80","±0.08","(X)","(X)","2.56","±0.08","(X)","(X)","2.92","±0.09","(X)","(X)"
"        Average household size of renter-occupied unit","2.55","±0.04","(X)","(X)","2.67","±0.02","(X)","(X)","3.33","±0.12","(X)","(X)","2.86","±0.03","(X)","(X)","3.05","±0.06","(X)","(X)","2.67","±0.03","(X)","(X)","2.82","±0.10","(X)","(X)","2.71","±0.11","(X)","(X)","2.53","±0.12","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","589,180","±4,004","589,180","(X)","3,375,587","±11,206","3,375,587","(X)","84,967","±1,569","84,967","(X)","1,077,193","±4,687","1,077,193","(X)","765,673","±5,559","765,673","(X)","1,162,896","±5,092","1,162,896","(X)","150,550","±2,185","150,550","(X)","97,353","±2,136","97,353","(X)","76,844","±1,623","76,844","(X)"
"        Moved in 2019 or later","154,961","±4,925","26.3%","±0.8","812,192","±12,853","24.1%","±0.4","19,754","±2,256","23.2%","±2.7","297,938","±7,786","27.7%","±0.7","186,555","±6,104","24.4%","±0.8","365,576","±9,012","31.4%","±0.8","42,466","±3,094","28.2%","±1.9","22,703","±2,567","23.3%","±2.4","24,618","±2,227","32.0%","±2.7"
"        Moved in 2015 to 2018","124,533","±4,933","21.1%","±0.8","687,471","±12,650","20.4%","±0.4","23,085","±2,471","27.2%","±2.8","225,581","±7,103","20.9%","±0.7","200,974","±6,776","26.2%","±0.8","249,959","±8,565","21.5%","±0.7","31,816","±2,478","21.1%","±1.7","17,457","±1,988","17.9%","±2.0","15,667","±2,138","20.4%","±2.7"
"        Moved in 2010 to 2014","95,469","±3,775","16.2%","±0.6","530,359","±12,045","15.7%","±0.4","13,572","±2,162","16.0%","±2.6","149,146","±6,242","13.8%","±0.6","127,609","±5,916","16.7%","±0.8","167,355","±7,293","14.4%","±0.6","21,610","±2,230","14.4%","±1.5","15,105","±1,812","15.5%","±1.9","9,977","±1,465","13.0%","±1.9"
"        Moved in 2000 to 2009","97,511","±4,490","16.6%","±0.8","608,416","±11,655","18.0%","±0.3","14,797","±1,936","17.4%","±2.3","187,584","±5,911","17.4%","±0.5","151,189","±5,180","19.7%","±0.7","187,678","±7,781","16.1%","±0.7","24,872","±2,240","16.5%","±1.5","17,493","±1,957","18.0%","±2.0","12,630","±1,734","16.4%","±2.3"
"        Moved in 1990 to 1999","55,945","±3,107","9.5%","±0.5","380,398","±9,607","11.3%","±0.3","6,825","±1,110","8.0%","±1.3","118,378","±4,712","11.0%","±0.4","61,726","±3,931","8.1%","±0.5","100,864","±5,171","8.7%","±0.4","15,286","±1,899","10.2%","±1.3","13,208","±1,758","13.6%","±1.8","7,336","±1,145","9.5%","±1.5"
"        Moved in 1989 and earlier","60,761","±2,778","10.3%","±0.5","356,751","±6,881","10.6%","±0.2","6,934","±1,077","8.2%","±1.2","98,566","±3,882","9.2%","±0.4","37,620","±2,883","4.9%","±0.4","91,464","±4,144","7.9%","±0.4","14,500","±1,324","9.6%","±0.9","11,387","±1,276","11.7%","±1.3","6,616","±1,099","8.6%","±1.4"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","589,180","±4,004","589,180","(X)","3,375,587","±11,206","3,375,587","(X)","84,967","±1,569","84,967","(X)","1,077,193","±4,687","1,077,193","(X)","765,673","±5,559","765,673","(X)","1,162,896","±5,092","1,162,896","(X)","150,550","±2,185","150,550","(X)","97,353","±2,136","97,353","(X)","76,844","±1,623","76,844","(X)"
"        No vehicles available","52,226","±3,683","8.9%","±0.6","289,557","±9,034","8.6%","±0.3","6,229","±1,461","7.3%","±1.7","50,328","±3,240","4.7%","±0.3","32,594","±3,275","4.3%","±0.4","63,566","±4,538","5.5%","±0.4","8,852","±1,569","5.9%","±1.0","4,728","±1,240","4.9%","±1.3","6,623","±1,327","8.6%","±1.7"
"        1 vehicle available","199,967","±5,329","33.9%","±0.9","1,148,366","±13,428","34.0%","±0.4","20,768","±2,474","24.4%","±2.9","310,132","±7,787","28.8%","±0.7","202,750","±7,698","26.5%","±1.0","358,893","±10,125","30.9%","±0.9","43,415","±3,067","28.8%","±2.0","25,860","±2,621","26.6%","±2.6","22,768","±2,351","29.6%","±3.1"
"        2 vehicles available","215,200","±5,110","36.5%","±0.9","1,170,393","±12,324","34.7%","±0.3","32,232","±2,782","37.9%","±3.1","434,318","±9,369","40.3%","±0.9","282,236","±8,934","36.9%","±1.1","458,493","±9,648","39.4%","±0.8","55,639","±2,645","37.0%","±1.8","36,556","±2,653","37.5%","±2.6","28,181","±2,542","36.7%","±3.0"
"        3 or more vehicles available","121,787","±4,502","20.7%","±0.8","767,271","±11,892","22.7%","±0.3","25,738","±2,482","30.3%","±3.0","282,415","±7,689","26.2%","±0.7","248,093","±7,999","32.4%","±1.0","281,944","±7,854","24.2%","±0.7","42,644","±2,576","28.3%","±1.6","30,209","±3,036","31.0%","±3.1","19,272","±2,180","25.1%","±2.7"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","589,180","±4,004","589,180","(X)","3,375,587","±11,206","3,375,587","(X)","84,967","±1,569","84,967","(X)","1,077,193","±4,687","1,077,193","(X)","765,673","±5,559","765,673","(X)","1,162,896","±5,092","1,162,896","(X)","150,550","±2,185","150,550","(X)","97,353","±2,136","97,353","(X)","76,844","±1,623","76,844","(X)"
"        Utility gas","386,460","±5,427","65.6%","±0.8","2,117,817","±13,578","62.7%","±0.4","50,914","±2,706","59.9%","±2.8","726,750","±7,931","67.5%","±0.7","530,226","±8,451","69.2%","±0.9","632,891","±9,761","54.4%","±0.8","101,991","±3,345","67.7%","±1.9","55,214","±2,923","56.7%","±2.7","45,255","±2,597","58.9%","±3.3"
"        Bottled, tank, or LP gas","11,349","±1,857","1.9%","±0.3","60,191","±3,670","1.8%","±0.1","2,640","±645","3.1%","±0.8","18,077","±2,420","1.7%","±0.2","25,553","±2,469","3.3%","±0.3","38,681","±3,788","3.3%","±0.3","4,207","±1,195","2.8%","±0.8","8,956","±1,365","9.2%","±1.4","2,882","±942","3.8%","±1.2"
"        Electricity","172,240","±4,677","29.2%","±0.8","969,693","±13,013","28.7%","±0.4","27,332","±2,280","32.2%","±2.7","287,971","±7,808","26.7%","±0.7","182,119","±7,736","23.8%","±1.0","409,305","±9,204","35.2%","±0.8","35,830","±3,168","23.8%","±2.1","26,049","±2,658","26.8%","±2.7","24,344","±2,265","31.7%","±2.8"
"        Fuel oil, kerosene, etc.","349","±237","0.1%","±0.1","3,433","±799","0.1%","±0.1","84","±115","0.1%","±0.1","1,198","±636","0.1%","±0.1","264","±172","0.0%","±0.1","1,359","±725","0.1%","±0.1","143","±153","0.1%","±0.1","422","±463","0.4%","±0.5","0","±218","0.0%","±0.3"
"        Coal or coke","0","±218","0.0%","±0.1","208","±148","0.0%","±0.1","0","±218","0.0%","±0.2","98","±164","0.0%","±0.1","69","±80","0.0%","±0.1","0","±218","0.0%","±0.1","116","±181","0.1%","±0.1","0","±218","0.0%","±0.2","0","±218","0.0%","±0.3"
"        Wood","1,180","±521","0.2%","±0.1","5,914","±1,598","0.2%","±0.1","453","±247","0.5%","±0.3","853","±387","0.1%","±0.1","2,939","±986","0.4%","±0.1","7,247","±1,382","0.6%","±0.1","585","±467","0.4%","±0.3","3,660","±1,015","3.8%","±1.0","921","±535","1.2%","±0.7"
"        Solar energy","4,326","±1,127","0.7%","±0.2","18,116","±2,447","0.5%","±0.1","2,000","±774","2.4%","±0.9","7,829","±1,322","0.7%","±0.1","9,896","±1,703","1.3%","±0.2","22,232","±2,381","1.9%","±0.2","1,272","±501","0.8%","±0.3","867","±465","0.9%","±0.5","2,779","±1,110","3.6%","±1.4"
