"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","629,159","±1,950","629,159","(X)","3,620,201","±3,524","3,620,201","(X)","89,328","±646","89,328","(X)","1,139,043","±1,671","1,139,043","(X)","858,681","±1,762","858,681","(X)","1,237,685","±1,728","1,237,685","(X)","159,771","±1,090","159,771","(X)","106,541","±929","106,541","(X)","81,252","±635","81,252","(X)"
"        Occupied housing units","589,180","±4,004","93.6%","±0.5","3,375,587","±11,206","93.2%","±0.3","84,967","±1,569","95.1%","±1.5","1,077,193","±4,687","94.6%","±0.4","765,673","±5,559","89.2%","±0.6","1,162,896","±5,092","94.0%","±0.4","150,550","±2,185","94.2%","±1.1","97,353","±2,136","91.4%","±1.9","76,844","±1,623","94.6%","±1.7"
"        Vacant housing units","39,979","±3,194","6.4%","±0.5","244,614","±10,566","6.8%","±0.3","4,361","±1,371","4.9%","±1.5","61,850","±4,493","5.4%","±0.4","93,008","±5,147","10.8%","±0.6","74,789","±4,887","6.0%","±0.4","9,221","±1,783","5.8%","±1.1","9,188","±2,014","8.6%","±1.9","4,408","±1,360","5.4%","±1.7"
"        Homeowner vacancy rate","0.7","±0.3","(X)","(X)","0.7","±0.1","(X)","(X)","0.3","±0.4","(X)","(X)","0.5","±0.2","(X)","(X)","0.9","±0.3","(X)","(X)","0.8","±0.2","(X)","(X)","1.1","±1.0","(X)","(X)","0.5","±0.6","(X)","(X)","0.0","±0.5","(X)","(X)"
"        Rental vacancy rate","6.1","±0.9","(X)","(X)","4.3","±0.3","(X)","(X)","3.7","±2.4","(X)","(X)","3.9","±0.5","(X)","(X)","3.9","±0.7","(X)","(X)","3.7","±0.5","(X)","(X)","2.4","±0.9","(X)","(X)","4.0","±2.3","(X)","(X)","1.5","±1.3","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","629,159","±1,950","629,159","(X)","3,620,201","±3,524","3,620,201","(X)","89,328","±646","89,328","(X)","1,139,043","±1,671","1,139,043","(X)","858,681","±1,762","858,681","(X)","1,237,685","±1,728","1,237,685","(X)","159,771","±1,090","159,771","(X)","106,541","±929","106,541","(X)","81,252","±635","81,252","(X)"
"        1-unit, detached","322,776","±5,587","51.3%","±0.9","1,728,781","±12,868","47.8%","±0.3","63,824","±2,460","71.4%","±2.7","567,675","±7,699","49.8%","±0.7","587,325","±6,572","68.4%","±0.7","621,256","±8,371","50.2%","±0.7","92,626","±2,617","58.0%","±1.6","66,658","±2,837","62.6%","±2.6","49,172","±2,343","60.5%","±2.7"
"        1-unit, attached","56,494","±3,099","9.0%","±0.5","241,219","±6,888","6.7%","±0.2","2,192","±1,101","2.5%","±1.2","146,491","±6,520","12.9%","±0.6","52,326","±3,528","6.1%","±0.4","127,442","±5,464","10.3%","±0.4","13,945","±1,687","8.7%","±1.0","10,870","±2,082","10.2%","±2.0","4,399","±979","5.4%","±1.2"
"        2 units","20,421","±2,459","3.2%","±0.4","94,064","±5,361","2.6%","±0.1","2,860","±1,026","3.2%","±1.2","22,428","±2,803","2.0%","±0.2","9,896","±1,752","1.2%","±0.2","21,726","±2,533","1.8%","±0.2","6,635","±1,274","4.2%","±0.8","3,039","±1,130","2.9%","±1.1","1,427","±727","1.8%","±0.9"
"        3 or 4 units","42,324","±3,684","6.7%","±0.6","211,448","±7,692","5.8%","±0.2","4,417","±1,020","4.9%","±1.1","76,829","±4,376","6.7%","±0.4","28,489","±3,159","3.3%","±0.4","64,196","±5,207","5.2%","±0.4","7,839","±1,484","4.9%","±0.9","5,889","±1,564","5.5%","±1.5","4,660","±1,181","5.7%","±1.5"
"        5 to 9 units","34,023","±2,981","5.4%","±0.5","291,273","±8,229","8.0%","±0.2","4,155","±1,156","4.7%","±1.3","62,723","±4,364","5.5%","±0.4","36,830","±3,984","4.3%","±0.5","86,580","±5,062","7.0%","±0.4","11,419","±1,828","7.1%","±1.1","4,279","±1,188","4.0%","±1.1","4,723","±1,194","5.8%","±1.5"
"        10 to 19 units","30,437","±2,989","4.8%","±0.5","272,703","±9,630","7.5%","±0.3","1,206","±617","1.4%","±0.7","53,170","±3,737","4.7%","±0.3","23,281","±2,880","2.7%","±0.3","78,808","±5,504","6.4%","±0.4","8,699","±1,659","5.4%","±1.0","2,625","±933","2.5%","±0.9","5,284","±1,456","6.5%","±1.8"
"        20 or more units","113,773","±4,574","18.1%","±0.7","727,889","±10,255","20.1%","±0.3","4,317","±1,069","4.8%","±1.2","178,757","±6,774","15.7%","±0.6","43,644","±3,040","5.1%","±0.4","195,403","±7,152","15.8%","±0.6","11,861","±1,619","7.4%","±1.0","7,255","±1,529","6.8%","±1.4","8,262","±1,410","10.2%","±1.7"
"        Mobile home","8,163","±1,361","1.3%","±0.2","50,300","±3,479","1.4%","±0.1","6,213","±1,354","7.0%","±1.5","30,390","±2,582","2.7%","±0.2","75,829","±4,546","8.8%","±0.5","41,050","±2,908","3.3%","±0.2","6,676","±1,165","4.2%","±0.7","5,926","±1,123","5.6%","±1.1","3,280","±808","4.0%","±1.0"
"        Boat, RV, van, etc.","748","±417","0.1%","±0.1","2,524","±946","0.1%","±0.1","144","±156","0.2%","±0.2","580","±410","0.1%","±0.1","1,061","±524","0.1%","±0.1","1,224","±615","0.1%","±0.1","71","±96","0.0%","±0.1","0","±218","0.0%","±0.2","45","±77","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","629,159","±1,950","629,159","(X)","3,620,201","±3,524","3,620,201","(X)","89,328","±646","89,328","(X)","1,139,043","±1,671","1,139,043","(X)","858,681","±1,762","858,681","(X)","1,237,685","±1,728","1,237,685","(X)","159,771","±1,090","159,771","(X)","106,541","±929","106,541","(X)","81,252","±635","81,252","(X)"
"        Built 2020 or later","3,561","±1,024","0.6%","±0.2","14,864","±2,533","0.4%","±0.1","262","±242","0.3%","±0.3","9,211","±2,440","0.8%","±0.2","9,040","±1,771","1.1%","±0.2","8,564","±1,880","0.7%","±0.2","516","±489","0.3%","±0.3","0","±218","0.0%","±0.2","749","±513","0.9%","±0.6"
"        Built 2010 to 2019","39,635","±2,817","6.3%","±0.4","181,798","±7,614","5.0%","±0.2","6,637","±1,450","7.4%","±1.6","88,810","±5,054","7.8%","±0.4","82,524","±4,200","9.6%","±0.5","85,196","±6,535","6.9%","±0.5","9,882","±1,559","6.2%","±1.0","3,502","±1,137","3.3%","±1.1","5,750","±1,180","7.1%","±1.5"
"        Built 2000 to 2009","46,029","±2,613","7.3%","±0.4","211,118","±6,141","5.8%","±0.2","17,428","±1,970","19.5%","±2.2","100,857","±4,559","8.9%","±0.4","203,345","±6,751","23.7%","±0.8","161,156","±6,148","13.0%","±0.5","15,134","±2,559","9.5%","±1.6","8,024","±1,451","7.5%","±1.4","15,608","±1,702","19.2%","±2.1"
"        Built 1990 to 1999","48,105","±3,753","7.6%","±0.6","218,391","±7,614","6.0%","±0.2","13,011","±2,194","14.6%","±2.5","126,804","±4,817","11.1%","±0.4","120,764","±5,845","14.1%","±0.7","135,813","±6,744","11.0%","±0.5","13,540","±1,823","8.5%","±1.1","9,764","±1,995","9.2%","±1.9","9,209","±1,534","11.3%","±1.9"
"        Built 1980 to 1989","75,772","±4,072","12.0%","±0.7","430,002","±10,575","11.9%","±0.3","12,711","±1,504","14.2%","±1.7","168,598","±6,898","14.8%","±0.6","180,676","±5,811","21.0%","±0.7","232,968","±6,241","18.8%","±0.5","22,499","±2,209","14.1%","±1.4","15,368","±2,184","14.4%","±2.0","12,056","±1,370","14.8%","±1.7"
"        Built 1970 to 1979","94,893","±5,095","15.1%","±0.8","514,109","±11,420","14.2%","±0.3","14,021","±1,925","15.7%","±2.2","253,723","±7,221","22.3%","±0.6","116,226","±4,935","13.5%","±0.6","260,954","±8,185","21.1%","±0.7","29,271","±2,982","18.3%","±1.9","20,509","±2,096","19.2%","±1.9","15,724","±1,729","19.4%","±2.2"
"        Built 1960 to 1969","78,237","±3,951","12.4%","±0.6","497,956","±10,148","13.8%","±0.3","8,007","±1,480","9.0%","±1.7","199,067","±5,809","17.5%","±0.5","64,091","±4,555","7.5%","±0.5","139,511","±6,166","11.3%","±0.5","34,246","±2,702","21.4%","±1.7","15,412","±2,018","14.5%","±1.9","8,541","±1,482","10.5%","±1.8"
"        Built 1950 to 1959","76,996","±4,410","12.2%","±0.7","686,571","±10,129","19.0%","±0.3","7,518","±1,215","8.4%","±1.4","142,759","±4,367","12.5%","±0.4","49,358","±3,599","5.7%","±0.4","121,802","±4,274","9.8%","±0.3","16,909","±1,790","10.6%","±1.1","12,291","±2,067","11.5%","±2.0","8,254","±1,526","10.2%","±1.9"
"        Built 1940 to 1949","45,799","±3,372","7.3%","±0.5","345,793","±9,501","9.6%","±0.3","6,374","±1,453","7.1%","±1.6","21,775","±2,647","1.9%","±0.2","15,165","±2,060","1.8%","±0.2","39,294","±3,294","3.2%","±0.3","5,237","±1,364","3.3%","±0.9","8,592","±1,776","8.1%","±1.7","2,116","±655","2.6%","±0.8"
"        Built 1939 or earlier","120,132","±4,634","19.1%","±0.7","519,599","±9,080","14.4%","±0.3","3,359","±1,033","3.8%","±1.2","27,439","±2,734","2.4%","±0.2","17,492","±2,030","2.0%","±0.2","52,427","±3,803","4.2%","±0.3","12,537","±1,844","7.8%","±1.2","13,079","±1,977","12.3%","±1.8","3,245","±906","4.0%","±1.1"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","629,159","±1,950","629,159","(X)","3,620,201","±3,524","3,620,201","(X)","89,328","±646","89,328","(X)","1,139,043","±1,671","1,139,043","(X)","858,681","±1,762","858,681","(X)","1,237,685","±1,728","1,237,685","(X)","159,771","±1,090","159,771","(X)","106,541","±929","106,541","(X)","81,252","±635","81,252","(X)"
"        1 room","30,952","±3,022","4.9%","±0.5","239,251","±8,941","6.6%","±0.2","2,964","±823","3.3%","±0.9","37,492","±3,482","3.3%","±0.3","18,956","±2,441","2.2%","±0.3","49,987","±4,095","4.0%","±0.3","6,364","±1,432","4.0%","±0.9","5,644","±1,403","5.3%","±1.3","2,595","±915","3.2%","±1.1"
"        2 rooms","39,141","±3,086","6.2%","±0.5","210,526","±7,008","5.8%","±0.2","1,117","±828","1.3%","±0.9","47,756","±4,431","4.2%","±0.4","22,917","±2,661","2.7%","±0.3","64,718","±4,415","5.2%","±0.4","6,914","±1,596","4.3%","±1.0","4,612","±1,099","4.3%","±1.0","3,067","±996","3.8%","±1.2"
"        3 rooms","89,595","±4,881","14.2%","±0.8","572,237","±12,055","15.8%","±0.3","5,592","±1,171","6.3%","±1.3","136,662","±5,975","12.0%","±0.5","66,366","±4,618","7.7%","±0.5","158,285","±7,011","12.8%","±0.6","15,867","±2,202","9.9%","±1.4","13,479","±2,144","12.7%","±2.0","9,297","±1,496","11.4%","±1.8"
"        4 rooms","126,788","±6,115","20.2%","±1.0","759,763","±13,657","21.0%","±0.4","12,236","±1,780","13.7%","±2.0","232,405","±7,602","20.4%","±0.7","148,971","±6,799","17.3%","±0.8","247,741","±8,505","20.0%","±0.7","34,650","±2,619","21.7%","±1.6","17,156","±2,016","16.1%","±1.9","13,662","±1,697","16.8%","±2.1"
"        5 rooms","108,221","±4,346","17.2%","±0.7","624,053","±10,578","17.2%","±0.3","19,369","±2,181","21.7%","±2.5","190,252","±6,554","16.7%","±0.6","171,437","±5,740","20.0%","±0.7","221,816","±7,926","17.9%","±0.6","28,447","±2,633","17.8%","±1.6","24,341","±2,758","22.8%","±2.6","17,642","±2,284","21.7%","±2.8"
"        6 rooms","95,424","±4,496","15.2%","±0.7","533,803","±9,141","14.7%","±0.3","24,287","±2,733","27.2%","±3.0","186,352","±6,279","16.4%","±0.6","158,145","±5,917","18.4%","±0.7","190,866","±7,244","15.4%","±0.6","29,223","±2,661","18.3%","±1.6","17,310","±2,063","16.2%","±1.9","14,295","±1,687","17.6%","±2.1"
"        7 rooms","58,115","±3,425","9.2%","±0.5","285,238","±9,206","7.9%","±0.3","10,387","±1,992","11.6%","±2.2","122,943","±5,231","10.8%","±0.5","101,894","±6,058","11.9%","±0.7","121,608","±4,889","9.8%","±0.4","16,209","±1,983","10.1%","±1.2","10,215","±1,437","9.6%","±1.3","7,656","±1,150","9.4%","±1.4"
"        8 rooms","38,930","±2,717","6.2%","±0.4","205,079","±7,308","5.7%","±0.2","6,999","±1,481","7.8%","±1.7","89,638","±4,717","7.9%","±0.4","81,432","±4,213","9.5%","±0.5","92,287","±5,379","7.5%","±0.4","10,934","±1,635","6.8%","±1.0","6,908","±1,306","6.5%","±1.2","6,297","±1,190","7.7%","±1.5"
"        9 rooms or more","41,993","±3,078","6.7%","±0.5","190,251","±5,705","5.3%","±0.2","6,377","±1,385","7.1%","±1.6","95,543","±4,624","8.4%","±0.4","88,563","±5,204","10.3%","±0.6","90,377","±5,154","7.3%","±0.4","11,163","±1,816","7.0%","±1.1","6,876","±1,168","6.5%","±1.1","6,741","±1,085","8.3%","±1.3"
"        Median rooms","4.8","±0.2","(X)","(X)","4.5","±0.2","(X)","(X)","5.6","±0.2","(X)","(X)","5.1","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","4.9","±0.1","(X)","(X)","5.1","±0.2","(X)","(X)","5.0","±0.1","(X)","(X)","5.2","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","629,159","±1,950","629,159","(X)","3,620,201","±3,524","3,620,201","(X)","89,328","±646","89,328","(X)","1,139,043","±1,671","1,139,043","(X)","858,681","±1,762","858,681","(X)","1,237,685","±1,728","1,237,685","(X)","159,771","±1,090","159,771","(X)","106,541","±929","106,541","(X)","81,252","±635","81,252","(X)"
"        No bedroom","35,574","±2,976","5.7%","±0.5","267,027","±8,859","7.4%","±0.2","3,015","±824","3.4%","±0.9","40,252","±3,571","3.5%","±0.3","21,772","±2,540","2.5%","±0.3","57,392","±4,486","4.6%","±0.4","6,825","±1,497","4.3%","±0.9","6,273","±1,513","5.9%","±1.4","2,652","±921","3.3%","±1.1"
"        1 bedroom","102,342","±5,112","16.3%","±0.8","682,612","±12,236","18.9%","±0.3","4,744","±1,279","5.3%","±1.4","148,241","±6,308","13.0%","±0.5","65,107","±3,871","7.6%","±0.5","171,824","±6,883","13.9%","±0.6","19,436","±2,477","12.2%","±1.5","11,253","±1,584","10.6%","±1.5","10,275","±1,621","12.6%","±2.0"
"        2 bedrooms","177,351","±5,947","28.2%","±0.9","1,072,931","±14,770","29.6%","±0.4","17,845","±2,076","20.0%","±2.3","312,598","±8,547","27.4%","±0.8","210,718","±7,254","24.5%","±0.8","357,089","±9,627","28.9%","±0.8","43,293","±2,944","27.1%","±1.9","33,163","±2,310","31.1%","±2.1","18,212","±1,829","22.4%","±2.2"
"        3 bedrooms","180,507","±4,945","28.7%","±0.8","1,020,253","±11,409","28.2%","±0.3","41,884","±2,660","46.9%","±3.0","327,559","±8,369","28.8%","±0.7","292,459","±7,628","34.1%","±0.9","372,256","±9,208","30.1%","±0.7","56,073","±2,925","35.1%","±1.8","39,696","±2,625","37.3%","±2.5","30,628","±2,295","37.7%","±2.8"
"        4 bedrooms","107,376","±4,876","17.1%","±0.8","451,700","±9,107","12.5%","±0.3","18,044","±2,089","20.2%","±2.3","243,346","±7,262","21.4%","±0.6","198,995","±6,356","23.2%","±0.7","221,081","±6,726","17.9%","±0.5","27,538","±2,525","17.2%","±1.6","12,803","±1,679","12.0%","±1.6","15,986","±1,830","19.7%","±2.2"
"        5 or more bedrooms","26,009","±2,173","4.1%","±0.3","125,678","±5,437","3.5%","±0.1","3,796","±1,081","4.2%","±1.2","67,047","±4,467","5.9%","±0.4","69,630","±4,658","8.1%","±0.5","58,043","±4,180","4.7%","±0.3","6,606","±1,505","4.1%","±0.9","3,353","±817","3.1%","±0.8","3,499","±788","4.3%","±1.0"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","589,180","±4,004","589,180","(X)","3,375,587","±11,206","3,375,587","(X)","84,967","±1,569","84,967","(X)","1,077,193","±4,687","1,077,193","(X)","765,673","±5,559","765,673","(X)","1,162,896","±5,092","1,162,896","(X)","150,550","±2,185","150,550","(X)","97,353","±2,136","97,353","(X)","76,844","±1,623","76,844","(X)"
