"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        Boat, RV, van, etc.","117","±144","0.0%","±0.1","2,123","±905","0.1%","±0.1","68","±113","0.1%","±0.1","632","±474","0.1%","±0.1","1,317","±721","0.2%","±0.1","1,046","±604","0.1%","±0.1","188","±173","0.1%","±0.1","37","±65","0.0%","±0.1","44","±73","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","599,780","±1,020","599,780","(X)","3,520,811","±2,122","3,520,811","(X)","84,432","±449","84,432","(X)","1,090,121","±993","1,090,121","(X)","831,404","±996","831,404","(X)","1,202,397","±1,966","1,202,397","(X)","155,962","±633","155,962","(X)","105,635","±640","105,635","(X)","77,166","±481","77,166","(X)"
"        Built 2014 or later","5,799","±1,227","1.0%","±0.2","24,003","±2,547","0.7%","±0.1","558","±290","0.7%","±0.3","17,108","±2,045","1.6%","±0.2","11,122","±1,510","1.3%","±0.2","15,914","±2,466","1.3%","±0.2","1,561","±630","1.0%","±0.4","380","±253","0.4%","±0.2","300","±218","0.4%","±0.3"
"        Built 2010 to 2013","10,462","±1,338","1.7%","±0.2","45,741","±3,571","1.3%","±0.1","951","±511","1.1%","±0.6","24,239","±2,703","2.2%","±0.2","20,411","±1,956","2.5%","±0.2","22,260","±2,679","1.9%","±0.2","3,479","±1,010","2.2%","±0.6","971","±485","0.9%","±0.5","1,724","±637","2.2%","±0.8"
"        Built 2000 to 2009","43,557","±2,803","7.3%","±0.5","191,409","±5,856","5.4%","±0.2","20,367","±1,943","24.1%","±2.3","89,599","±4,501","8.2%","±0.4","215,735","±5,789","25.9%","±0.7","139,239","±6,302","11.6%","±0.5","12,046","±1,520","7.7%","±1.0","9,364","±1,658","8.9%","±1.6","14,003","±1,621","18.1%","±2.1"
"        Built 1990 to 1999","55,525","±3,506","9.3%","±0.6","223,006","±5,987","6.3%","±0.2","12,089","±1,701","14.3%","±2.0","134,281","±5,199","12.3%","±0.5","126,233","±4,771","15.2%","±0.6","150,923","±5,786","12.6%","±0.5","13,638","±1,951","8.7%","±1.2","10,137","±1,855","9.6%","±1.8","11,796","±1,431","15.3%","±1.8"
"        Built 1980 to 1989","79,200","±4,158","13.2%","±0.7","414,238","±9,325","11.8%","±0.3","11,322","±1,315","13.4%","±1.6","164,003","±5,640","15.0%","±0.5","179,308","±5,368","21.6%","±0.6","224,747","±6,515","18.7%","±0.5","22,788","±2,122","14.6%","±1.4","13,841","±1,348","13.1%","±1.3","12,748","±1,706","16.5%","±2.2"
"        Built 1970 to 1979","93,341","±4,394","15.6%","±0.7","487,498","±9,989","13.8%","±0.3","12,395","±1,761","14.7%","±2.1","258,654","±6,509","23.7%","±0.6","126,920","±4,687","15.3%","±0.6","277,837","±7,470","23.1%","±0.6","31,800","±2,317","20.4%","±1.5","23,523","±2,022","22.3%","±1.9","13,479","±1,546","17.5%","±2.0"
"        Built 1960 to 1969","77,262","±3,811","12.9%","±0.6","531,618","±8,517","15.1%","±0.2","9,999","±1,434","11.8%","±1.7","212,574","±6,186","19.5%","±0.6","64,225","±3,877","7.7%","±0.5","143,994","±5,333","12.0%","±0.4","31,687","±2,333","20.3%","±1.5","14,544","±1,869","13.8%","±1.8","8,093","±1,183","10.5%","±1.5"
"        Built 1950 to 1959","74,376","±3,684","12.4%","±0.6","728,398","±10,339","20.7%","±0.3","6,565","±1,196","7.8%","±1.4","140,767","±4,857","12.9%","±0.4","53,868","±3,241","6.5%","±0.4","132,214","±5,209","11.0%","±0.4","18,366","±1,812","11.8%","±1.2","11,364","±1,776","10.8%","±1.7","7,195","±1,174","9.3%","±1.5"
"        Built 1940 to 1949","39,455","±2,293","6.6%","±0.4","367,619","±8,941","10.4%","±0.3","4,391","±1,171","5.2%","±1.4","23,460","±2,364","2.2%","±0.2","16,440","±2,084","2.0%","±0.3","45,531","±3,192","3.8%","±0.3","6,886","±1,411","4.4%","±0.9","8,155","±1,361","7.7%","±1.3","3,400","±818","4.4%","±1.1"
"        Built 1939 or earlier","120,803","±3,889","20.1%","±0.6","507,281","±8,417","14.4%","±0.2","5,795","±1,104","6.9%","±1.3","25,436","±2,524","2.3%","±0.2","17,142","±1,756","2.1%","±0.2","49,738","±3,332","4.1%","±0.3","13,711","±1,827","8.8%","±1.2","13,356","±1,693","12.6%","±1.6","4,428","±983","5.7%","±1.3"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","599,780","±1,020","599,780","(X)","3,520,811","±2,122","3,520,811","(X)","84,432","±449","84,432","(X)","1,090,121","±993","1,090,121","(X)","831,404","±996","831,404","(X)","1,202,397","±1,966","1,202,397","(X)","155,962","±633","155,962","(X)","105,635","±640","105,635","(X)","77,166","±481","77,166","(X)"
"        1 room","26,181","±2,464","4.4%","±0.4","224,527","±6,206","6.4%","±0.2","1,546","±611","1.8%","±0.7","31,983","±3,729","2.9%","±0.3","16,610","±2,274","2.0%","±0.3","38,252","±3,996","3.2%","±0.3","3,492","±1,000","2.2%","±0.6","5,833","±1,587","5.5%","±1.5","2,291","±894","3.0%","±1.2"
"        2 rooms","36,333","±2,762","6.1%","±0.5","191,890","±6,770","5.5%","±0.2","1,418","±501","1.7%","±0.6","36,461","±3,252","3.3%","±0.3","21,711","±2,198","2.6%","±0.3","43,561","±3,044","3.6%","±0.3","7,016","±1,356","4.5%","±0.9","4,206","±1,121","4.0%","±1.1","2,542","±803","3.3%","±1.0"
"        3 rooms","84,783","±4,378","14.1%","±0.7","568,994","±10,388","16.2%","±0.3","4,914","±1,167","5.8%","±1.4","121,595","±4,774","11.2%","±0.4","71,726","±5,081","8.6%","±0.6","152,738","±5,907","12.7%","±0.5","20,018","±2,471","12.8%","±1.6","11,427","±1,830","10.8%","±1.7","7,733","±1,546","10.0%","±2.0"
"        4 rooms","116,852","±4,961","19.5%","±0.8","745,709","±11,357","21.2%","±0.3","14,599","±1,919","17.3%","±2.3","217,806","±6,879","20.0%","±0.6","152,085","±5,869","18.3%","±0.7","259,902","±9,276","21.6%","±0.8","32,542","±2,621","20.9%","±1.7","20,657","±2,442","19.6%","±2.3","15,076","±1,930","19.5%","±2.5"
