"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        3 rooms","96,040","±4,587","15.6%","±0.7","553,967","±10,289","15.6%","±0.3","4,728","±1,147","5.5%","±1.3","134,121","±4,861","12.1%","±0.4","75,573","±4,333","8.9%","±0.5","164,715","±6,474","13.5%","±0.5","19,356","±1,999","12.2%","±1.3","12,360","±2,005","11.6%","±1.9","7,543","±1,512","9.6%","±1.9"
"        4 rooms","125,338","±5,106","20.4%","±0.8","748,430","±11,415","21.0%","±0.3","13,971","±1,901","16.3%","±2.2","228,781","±7,672","20.6%","±0.7","155,411","±5,089","18.3%","±0.6","256,896","±7,136","21.0%","±0.6","32,263","±2,932","20.4%","±1.9","22,544","±2,432","21.1%","±2.3","17,407","±1,925","22.2%","±2.4"
"        5 rooms","98,551","±3,551","16.0%","±0.6","632,674","±12,960","17.8%","±0.4","25,219","±2,281","29.4%","±2.7","201,654","±7,652","18.1%","±0.7","174,028","±5,471","20.5%","±0.6","230,083","±7,654","18.8%","±0.6","33,134","±2,822","20.9%","±1.8","21,588","±2,393","20.2%","±2.2","13,151","±1,678","16.7%","±2.1"
"        6 rooms","90,847","±4,408","14.8%","±0.7","523,991","±11,969","14.7%","±0.3","18,655","±1,840","21.8%","±2.1","185,073","±5,913","16.7%","±0.5","146,281","±4,750","17.2%","±0.6","185,477","±6,760","15.1%","±0.6","26,824","±1,937","16.9%","±1.2","17,529","±2,018","16.4%","±1.9","14,796","±1,578","18.8%","±2.0"
"        7 rooms","58,404","±3,432","9.5%","±0.6","297,214","±8,963","8.3%","±0.3","12,062","±1,846","14.1%","±2.2","117,485","±4,571","10.6%","±0.4","98,716","±4,557","11.6%","±0.5","128,216","±5,624","10.5%","±0.5","15,809","±1,779","10.0%","±1.1","9,443","±1,545","8.8%","±1.5","8,866","±1,318","11.3%","±1.7"
"        8 rooms","43,070","±2,578","7.0%","±0.4","182,001","±6,486","5.1%","±0.2","5,238","±1,180","6.1%","±1.4","88,478","±4,585","8.0%","±0.4","75,463","±4,161","8.9%","±0.5","83,175","±3,946","6.8%","±0.3","9,272","±1,486","5.9%","±0.9","6,796","±1,264","6.4%","±1.2","5,502","±1,065","7.0%","±1.4"
"        9 rooms or more","37,403","±2,803","6.1%","±0.5","183,593","±5,040","5.2%","±0.1","3,438","±808","4.0%","±0.9","89,593","±4,017","8.1%","±0.4","79,898","±3,075","9.4%","±0.4","82,935","±4,129","6.8%","±0.3","10,241","±1,191","6.5%","±0.8","7,180","±1,076","6.7%","±1.0","4,737","±951","6.0%","±1.2"
"        Median rooms","4.7","±0.1","(X)","(X)","4.6","±0.1","(X)","(X)","5.4","±0.2","(X)","(X)","5.1","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","4.9","±0.1","(X)","(X)","5.0","±0.1","(X)","(X)","4.9","±0.2","(X)","(X)","5.1","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","615,129","±634","615,129","(X)","3,561,342","±2,697","3,561,342","(X)","85,766","±429","85,766","(X)","1,111,321","±946","1,111,321","(X)","848,646","±2,042","848,646","(X)","1,224,390","±2,112","1,224,390","(X)","158,315","±985","158,315","(X)","106,718","±635","106,718","(X)","78,527","±515","78,527","(X)"
"        No bedroom","28,604","±2,824","4.7%","±0.5","258,504","±7,577","7.3%","±0.2","1,704","±679","2.0%","±0.8","33,566","±3,200","3.0%","±0.3","16,712","±1,778","2.0%","±0.2","50,085","±3,958","4.1%","±0.3","6,520","±1,195","4.1%","±0.8","4,319","±1,124","4.0%","±1.1","2,336","±942","3.0%","±1.2"
"        1 bedroom","103,217","±4,682","16.8%","±0.8","690,871","±10,954","19.4%","±0.3","4,486","±1,003","5.2%","±1.2","135,966","±5,832","12.2%","±0.5","64,021","±4,106","7.5%","±0.5","167,649","±6,098","13.7%","±0.5","22,219","±2,226","14.0%","±1.4","13,391","±2,116","12.5%","±2.0","10,820","±1,570","13.8%","±2.0"
"        2 bedrooms","178,826","±5,501","29.1%","±0.9","1,067,067","±12,424","30.0%","±0.4","18,415","±1,896","21.5%","±2.2","313,552","±9,098","28.2%","±0.8","222,029","±6,428","26.2%","±0.8","373,395","±8,443","30.5%","±0.7","45,227","±3,044","28.6%","±2.0","33,901","±2,259","31.8%","±2.1","19,617","±1,854","25.0%","±2.3"
"        3 bedrooms","181,392","±5,346","29.5%","±0.9","998,246","±11,641","28.0%","±0.3","41,108","±2,492","47.9%","±3.0","343,419","±7,299","30.9%","±0.7","289,617","±5,490","34.1%","±0.7","366,541","±9,123","29.9%","±0.7","54,897","±2,941","34.7%","±1.8","40,137","±2,592","37.6%","±2.4","27,408","±2,031","34.9%","±2.6"
"        4 bedrooms","97,947","±4,177","15.9%","±0.7","430,115","±7,931","12.1%","±0.2","17,914","±2,069","20.9%","±2.4","223,107","±6,424","20.1%","±0.6","188,486","±6,418","22.2%","±0.8","210,192","±6,232","17.2%","±0.5","24,082","±1,831","15.2%","±1.1","12,745","±1,554","11.9%","±1.5","15,664","±1,790","19.9%","±2.3"
"        5 or more bedrooms","25,143","±2,213","4.1%","±0.4","116,539","±4,815","3.3%","±0.1","2,139","±731","2.5%","±0.9","61,711","±3,643","5.6%","±0.3","67,781","±3,831","8.0%","±0.5","56,528","±3,791","4.6%","±0.3","5,370","±1,133","3.4%","±0.7","2,225","±862","2.1%","±0.8","2,682","±742","3.4%","±0.9"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","575,410","±4,162","575,410","(X)","3,313,908","±10,529","3,313,908","(X)","79,487","±1,497","79,487","(X)","1,040,394","±5,391","1,040,394","(X)","728,103","±4,596","728,103","(X)","1,130,911","±6,394","1,130,911","(X)","146,224","±2,369","146,224","(X)","94,994","±2,034","94,994","(X)","74,428","±1,333","74,428","(X)"
"        Owner-occupied","308,503","±5,339","53.6%","±0.9","1,501,284","±13,125","45.3%","±0.4","42,176","±2,133","53.1%","±2.4","597,488","±7,644","57.4%","±0.7","496,576","±6,265","68.2%","±0.8","600,545","±8,408","53.1%","±0.7","76,604","±2,526","52.4%","±1.7","57,087","±2,200","60.1%","±2.4","36,107","±1,912","48.5%","±2.5"
"        Renter-occupied","266,907","±5,560","46.4%","±0.9","1,812,624","±15,888","54.7%","±0.4","37,311","±2,033","46.9%","±2.4","442,906","±7,852","42.6%","±0.7","231,527","±5,952","31.8%","±0.8","530,366","±8,598","46.9%","±0.7","69,620","±2,968","47.6%","±1.7","37,907","±2,636","39.9%","±2.4","38,321","±2,043","51.5%","±2.5"
"        Average household size of owner-occupied unit","2.98","±0.04","(X)","(X)","3.20","±0.02","(X)","(X)","3.22","±0.12","(X)","(X)","3.00","±0.03","(X)","(X)","3.30","±0.04","(X)","(X)","2.94","±0.02","(X)","(X)","2.83","±0.09","(X)","(X)","2.65","±0.10","(X)","(X)","2.84","±0.10","(X)","(X)"
"        Average household size of renter-occupied unit","2.69","±0.04","(X)","(X)","2.83","±0.02","(X)","(X)","3.56","±0.16","(X)","(X)","3.05","±0.04","(X)","(X)","3.34","±0.06","(X)","(X)","2.80","±0.03","(X)","(X)","3.02","±0.11","(X)","(X)","2.90","±0.13","(X)","(X)","2.87","±0.10","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","575,410","±4,162","575,410","(X)","3,313,908","±10,529","3,313,908","(X)","79,487","±1,497","79,487","(X)","1,040,394","±5,391","1,040,394","(X)","728,103","±4,596","728,103","(X)","1,130,911","±6,394","1,130,911","(X)","146,224","±2,369","146,224","(X)","94,994","±2,034","94,994","(X)","74,428","±1,333","74,428","(X)"
"        Moved in 2017 or later","99,191","±3,939","17.2%","±0.7","521,748","±11,682","15.7%","±0.3","11,872","±1,739","14.9%","±2.2","186,831","±6,691","18.0%","±0.6","123,088","±5,134","16.9%","±0.7","246,379","±8,346","21.8%","±0.7","29,214","±2,328","20.0%","±1.6","15,363","±1,831","16.2%","±1.9","17,545","±1,827","23.6%","±2.4"
"        Moved in 2015 to 2016","91,272","±4,287","15.9%","±0.7","508,824","±10,603","15.4%","±0.3","17,408","±1,903","21.9%","±2.3","170,821","±5,903","16.4%","±0.6","132,750","±5,599","18.2%","±0.8","206,676","±7,721","18.3%","±0.7","21,797","±2,194","14.9%","±1.4","12,710","±1,872","13.4%","±1.9","12,773","±1,487","17.2%","±1.9"
"        Moved in 2010 to 2014","133,270","±4,620","23.2%","±0.8","735,275","±11,261","22.2%","±0.3","18,738","±2,139","23.6%","±2.7","210,005","±6,778","20.2%","±0.6","166,703","±5,784","22.9%","±0.8","227,057","±7,072","20.1%","±0.6","32,138","±2,759","22.0%","±1.9","19,251","±2,217","20.3%","±2.2","14,280","±2,049","19.2%","±2.7"
"        Moved in 2000 to 2009","118,720","±4,369","20.6%","±0.7","717,652","±10,301","21.7%","±0.3","16,194","±2,176","20.4%","±2.7","219,356","±6,518","21.1%","±0.6","188,649","±5,994","25.9%","±0.8","226,008","±6,558","20.0%","±0.6","27,221","±2,289","18.6%","±1.5","20,975","±2,028","22.1%","±2.2","16,362","±1,711","22.0%","±2.3"
"        Moved in 1990 to 1999","63,165","±3,731","11.0%","±0.6","416,868","±8,483","12.6%","±0.3","6,902","±1,336","8.7%","±1.7","135,268","±4,747","13.0%","±0.5","71,959","±3,642","9.9%","±0.5","111,631","±5,026","9.9%","±0.4","14,928","±1,614","10.2%","±1.1","13,877","±1,711","14.6%","±1.8","6,522","±1,052","8.8%","±1.4"
"        Moved in 1989 and earlier","69,792","±3,133","12.1%","±0.6","413,541","±8,397","12.5%","±0.3","8,373","±1,216","10.5%","±1.5","118,113","±4,201","11.4%","±0.4","44,954","±3,010","6.2%","±0.4","113,160","±4,549","10.0%","±0.4","20,926","±1,650","14.3%","±1.2","12,818","±1,491","13.5%","±1.6","6,946","±989","9.3%","±1.3"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","575,410","±4,162","575,410","(X)","3,313,908","±10,529","3,313,908","(X)","79,487","±1,497","79,487","(X)","1,040,394","±5,391","1,040,394","(X)","728,103","±4,596","728,103","(X)","1,130,911","±6,394","1,130,911","(X)","146,224","±2,369","146,224","(X)","94,994","±2,034","94,994","(X)","74,428","±1,333","74,428","(X)"
"        No vehicles available","51,449","±2,997","8.9%","±0.5","288,550","±8,242","8.7%","±0.2","6,664","±1,237","8.4%","±1.5","45,991","±3,411","4.4%","±0.3","26,670","±2,341","3.7%","±0.3","63,786","±4,260","5.6%","±0.4","8,348","±1,433","5.7%","±1.0","4,394","±1,159","4.6%","±1.2","6,616","±1,597","8.9%","±2.1"
"        1 vehicle available","185,312","±5,664","32.2%","±1.0","1,105,641","±12,850","33.4%","±0.4","19,827","±1,960","24.9%","±2.4","282,803","±6,947","27.2%","±0.7","199,176","±6,847","27.4%","±0.9","336,503","±8,293","29.8%","±0.7","43,539","±2,972","29.8%","±1.9","26,472","±3,004","27.9%","±3.1","22,626","±2,196","30.4%","±2.9"
"        2 vehicles available","209,926","±5,570","36.5%","±0.9","1,158,434","±13,004","35.0%","±0.4","26,499","±2,635","33.3%","±3.4","419,813","±8,367","40.4%","±0.8","269,589","±6,555","37.0%","±0.9","451,356","±9,155","39.9%","±0.8","55,097","±3,339","37.7%","±2.2","34,524","±2,835","36.3%","±2.9","27,105","±2,104","36.4%","±2.8"
"        3 or more vehicles available","128,723","±5,122","22.4%","±0.9","761,283","±11,317","23.0%","±0.3","26,497","±2,565","33.3%","±3.1","291,787","±6,409","28.0%","±0.6","232,668","±6,571","32.0%","±0.9","279,266","±8,074","24.7%","±0.7","39,240","±3,025","26.8%","±2.0","29,604","±2,177","31.2%","±2.2","18,081","±1,827","24.3%","±2.4"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","575,410","±4,162","575,410","(X)","3,313,908","±10,529","3,313,908","(X)","79,487","±1,497","79,487","(X)","1,040,394","±5,391","1,040,394","(X)","728,103","±4,596","728,103","(X)","1,130,911","±6,394","1,130,911","(X)","146,224","±2,369","146,224","(X)","94,994","±2,034","94,994","(X)","74,428","±1,333","74,428","(X)"
"        Utility gas","409,643","±5,334","71.2%","±0.8","2,164,011","±14,176","65.3%","±0.4","38,803","±2,809","48.8%","±3.3","722,482","±7,679","69.4%","±0.7","499,203","±6,072","68.6%","±0.8","657,439","±9,991","58.1%","±0.8","105,783","±2,794","72.3%","±1.6","55,190","±2,717","58.1%","±2.6","44,912","±1,949","60.3%","±2.5"
"        Bottled, tank, or LP gas","8,672","±1,226","1.5%","±0.2","45,197","±2,680","1.4%","±0.1","2,299","±496","2.9%","±0.6","11,965","±1,390","1.2%","±0.1","19,394","±2,035","2.7%","±0.3","40,481","±2,751","3.6%","±0.2","3,790","±940","2.6%","±0.6","9,322","±1,485","9.8%","±1.6","3,112","±1,007","4.2%","±1.4"
"        Electricity","139,656","±4,440","24.3%","±0.7","865,303","±11,747","26.1%","±0.3","33,436","±2,697","42.1%","±3.4","251,691","±6,570","24.2%","±0.6","184,386","±5,754","25.3%","±0.8","354,305","±8,997","31.3%","±0.8","26,365","±2,299","18.0%","±1.5","20,583","±2,094","21.7%","±2.1","22,644","±2,078","30.4%","±2.7"
"        Fuel oil, kerosene, etc.","577","±318","0.1%","±0.1","2,949","±980","0.1%","±0.1","80","±134","0.1%","±0.2","483","±196","0.0%","±0.1","580","±502","0.1%","±0.1","993","±488","0.1%","±0.1","45","±75","0.0%","±0.1","26","±43","0.0%","±0.1","136","±201","0.2%","±0.3"
"        Coal or coke","75","±87","0.0%","±0.1","279","±195","0.0%","±0.1","0","±211","0.0%","±0.2","279","±287","0.0%","±0.1","56","±92","0.0%","±0.1","183","±238","0.0%","±0.1","0","±211","0.0%","±0.1","0","±211","0.0%","±0.2","92","±167","0.1%","±0.2"
"        Wood","1,327","±553","0.2%","±0.1","6,630","±1,163","0.2%","±0.1","1,691","±730","2.1%","±0.9","1,976","±768","0.2%","±0.1","2,738","±605","0.4%","±0.1","8,466","±1,323","0.7%","±0.1","803","±482","0.5%","±0.3","4,706","±1,025","5.0%","±1.1","969","±458","1.3%","±0.6"
"        Solar energy","3,188","±840","0.6%","±0.1","10,450","±1,326","0.3%","±0.1","951","±597","1.2%","±0.8","5,590","±1,144","0.5%","±0.1","6,987","±1,150","1.0%","±0.2","16,430","±1,961","1.5%","±0.2","595","±300","0.4%","±0.2","737","±377","0.8%","±0.4","1,594","±617","2.1%","±0.8"
