"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","595,871","±847","595,871","(X)","3,504,348","±1,751","3,504,348","(X)","84,338","±544","84,338","(X)","1,081,042","±1,116","1,081,042","(X)","826,825","±1,005","826,825","(X)","1,194,494","±1,587","1,194,494","(X)","155,143","±623","155,143","(X)","78,112","±501","78,112","(X)","76,966","±523","76,966","(X)"
"        Built 2014 or later","1,397","±458","0.2%","±0.1","7,174","±1,343","0.2%","±0.1","228","±230","0.3%","±0.3","5,917","±1,152","0.5%","±0.1","4,004","±1,161","0.5%","±0.1","3,947","±1,087","0.3%","±0.1","387","±251","0.2%","±0.2","60","±98","0.1%","±0.1","394","±340","0.5%","±0.4"
"        Built 2010 to 2013","9,408","±1,480","1.6%","±0.2","34,874","±2,824","1.0%","±0.1","818","±387","1.0%","±0.5","21,604","±2,243","2.0%","±0.2","19,751","±2,353","2.4%","±0.3","21,648","±2,485","1.8%","±0.2","2,707","±895","1.7%","±0.6","1,010","±499","1.3%","±0.6","2,112","±679","2.7%","±0.9"
"        Built 2000 to 2009","44,728","±2,694","7.5%","±0.5","198,615","±5,895","5.7%","±0.2","18,823","±1,812","22.3%","±2.1","91,436","±3,529","8.5%","±0.3","227,768","±6,061","27.5%","±0.7","144,886","±6,411","12.1%","±0.5","13,095","±2,037","8.4%","±1.3","9,221","±1,308","11.8%","±1.7","13,893","±1,458","18.1%","±1.9"
"        Built 1990 to 1999","52,370","±3,446","8.8%","±0.6","222,099","±6,364","6.3%","±0.2","12,831","±1,427","15.2%","±1.7","125,953","±4,516","11.7%","±0.4","129,287","±4,794","15.6%","±0.6","150,314","±6,036","12.6%","±0.5","16,256","±1,945","10.5%","±1.3","14,483","±1,493","18.5%","±1.9","9,288","±1,260","12.1%","±1.6"
"        Built 1980 to 1989","77,861","±3,804","13.1%","±0.6","410,410","±8,730","11.7%","±0.2","11,732","±1,913","13.9%","±2.3","168,697","±6,436","15.6%","±0.6","178,698","±5,940","21.6%","±0.7","230,479","±7,092","19.3%","±0.6","22,281","±2,260","14.4%","±1.5","14,832","±1,775","19.0%","±2.3","11,173","±1,299","14.5%","±1.7"
"        Built 1970 to 1979","84,036","±3,660","14.1%","±0.6","487,627","±8,366","13.9%","±0.2","11,221","±1,341","13.3%","±1.6","257,041","±6,543","23.8%","±0.6","126,791","±5,477","15.3%","±0.7","273,390","±6,372","22.9%","±0.5","30,148","±2,362","19.4%","±1.5","18,400","±1,757","23.6%","±2.2","15,897","±1,738","20.7%","±2.3"
"        Built 1960 to 1969","84,359","±3,488","14.2%","±0.6","516,517","±10,066","14.7%","±0.3","8,223","±1,266","9.8%","±1.5","215,525","±6,651","19.9%","±0.6","65,281","±2,890","7.9%","±0.3","149,705","±5,422","12.5%","±0.5","30,525","±1,956","19.7%","±1.3","8,581","±1,321","11.0%","±1.7","8,606","±1,358","11.2%","±1.8"
"        Built 1950 to 1959","80,466","±3,541","13.5%","±0.6","725,136","±10,141","20.7%","±0.3","9,093","±1,332","10.8%","±1.6","145,147","±5,095","13.4%","±0.5","44,231","±2,931","5.3%","±0.4","124,516","±4,938","10.4%","±0.4","19,459","±2,148","12.5%","±1.4","6,187","±1,058","7.9%","±1.4","8,903","±1,606","11.6%","±2.1"
"        Built 1940 to 1949","45,509","±3,058","7.6%","±0.5","379,417","±6,378","10.8%","±0.2","5,478","±1,178","6.5%","±1.4","20,836","±2,216","1.9%","±0.2","14,021","±1,750","1.7%","±0.2","40,470","±3,087","3.4%","±0.3","6,338","±1,219","4.1%","±0.8","2,975","±907","3.8%","±1.2","3,262","±862","4.2%","±1.1"
"        Built 1939 or earlier","115,737","±4,655","19.4%","±0.8","522,479","±9,759","14.9%","±0.3","5,891","±1,005","7.0%","±1.2","28,886","±2,310","2.7%","±0.2","16,993","±2,114","2.1%","±0.3","55,139","±3,370","4.6%","±0.3","13,947","±1,662","9.0%","±1.1","2,363","±597","3.0%","±0.8","3,438","±1,071","4.5%","±1.4"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","595,871","±847","595,871","(X)","3,504,348","±1,751","3,504,348","(X)","84,338","±544","84,338","(X)","1,081,042","±1,116","1,081,042","(X)","826,825","±1,005","826,825","(X)","1,194,494","±1,587","1,194,494","(X)","155,143","±623","155,143","(X)","78,112","±501","78,112","(X)","76,966","±523","76,966","(X)"
"        1 room","25,580","±2,241","4.3%","±0.4","218,388","±7,788","6.2%","±0.2","1,344","±497","1.6%","±0.6","27,507","±2,673","2.5%","±0.2","19,248","±2,273","2.3%","±0.3","34,718","±3,430","2.9%","±0.3","4,810","±1,035","3.1%","±0.7","2,575","±970","3.3%","±1.2","3,203","±1,226","4.2%","±1.6"
"        2 rooms","35,542","±2,980","6.0%","±0.5","189,570","±6,403","5.4%","±0.2","1,417","±541","1.7%","±0.6","37,415","±3,213","3.5%","±0.3","15,509","±1,676","1.9%","±0.2","44,800","±3,017","3.8%","±0.3","6,463","±1,314","4.2%","±0.8","1,949","±712","2.5%","±0.9","2,043","±673","2.7%","±0.9"
"        3 rooms","73,337","±3,725","12.3%","±0.6","549,739","±10,543","15.7%","±0.3","5,905","±1,325","7.0%","±1.6","127,120","±5,960","11.8%","±0.6","67,221","±4,603","8.1%","±0.6","161,099","±6,456","13.5%","±0.5","19,753","±2,444","12.7%","±1.6","5,433","±1,003","7.0%","±1.3","9,413","±1,720","12.2%","±2.2"
"        4 rooms","115,136","±4,736","19.3%","±0.8","751,682","±11,306","21.4%","±0.3","13,536","±1,583","16.0%","±1.9","220,330","±7,586","20.4%","±0.7","148,219","±6,180","17.9%","±0.7","253,568","±6,738","21.2%","±0.6","31,680","±2,384","20.4%","±1.5","15,947","±1,703","20.4%","±2.2","12,434","±1,662","16.2%","±2.1"
"        5 rooms","112,782","±4,326","18.9%","±0.7","622,140","±9,779","17.8%","±0.3","24,449","±2,098","29.0%","±2.5","193,037","±5,051","17.9%","±0.5","171,046","±6,047","20.7%","±0.7","225,526","±6,965","18.9%","±0.6","31,714","±2,531","20.4%","±1.6","20,220","±1,721","25.9%","±2.2","16,554","±1,924","21.5%","±2.5"
"        6 rooms","95,265","±4,274","16.0%","±0.7","516,942","±10,113","14.8%","±0.3","16,786","±1,834","19.9%","±2.2","181,978","±6,625","16.8%","±0.6","159,111","±5,538","19.2%","±0.7","189,061","±6,969","15.8%","±0.6","28,108","±2,313","18.1%","±1.5","14,431","±1,470","18.5%","±1.9","14,032","±1,741","18.2%","±2.3"
"        7 rooms","59,736","±3,470","10.0%","±0.6","301,210","±7,085","8.6%","±0.2","9,737","±1,513","11.5%","±1.8","120,175","±4,449","11.1%","±0.4","98,896","±4,509","12.0%","±0.5","125,068","±4,116","10.5%","±0.3","14,442","±1,669","9.3%","±1.1","7,278","±1,049","9.3%","±1.3","9,071","±1,303","11.8%","±1.7"
"        8 rooms","36,721","±2,443","6.2%","±0.4","180,591","±5,628","5.2%","±0.2","6,755","±1,395","8.0%","±1.7","85,052","±3,919","7.9%","±0.4","73,601","±4,028","8.9%","±0.5","83,716","±3,315","7.0%","±0.3","9,726","±1,283","6.3%","±0.8","5,472","±1,004","7.0%","±1.3","5,477","±1,217","7.1%","±1.6"
"        9 rooms or more","41,772","±2,222","7.0%","±0.4","174,086","±5,348","5.0%","±0.2","4,409","±940","5.2%","±1.1","88,428","±3,889","8.2%","±0.4","73,974","±2,958","8.9%","±0.4","76,938","±3,697","6.4%","±0.3","8,447","±1,135","5.4%","±0.7","4,807","±946","6.2%","±1.2","4,739","±783","6.2%","±1.0"
"        Median rooms","4.9","±0.1","(X)","(X)","4.6","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","5.2","±0.1","(X)","(X)","5.5","±0.2","(X)","(X)","5.0","±0.2","(X)","(X)","5.0","±0.2","(X)","(X)","5.2","±0.2","(X)","(X)","5.2","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","595,871","±847","595,871","(X)","3,504,348","±1,751","3,504,348","(X)","84,338","±544","84,338","(X)","1,081,042","±1,116","1,081,042","(X)","826,825","±1,005","826,825","(X)","1,194,494","±1,587","1,194,494","(X)","155,143","±623","155,143","(X)","78,112","±501","78,112","(X)","76,966","±523","76,966","(X)"
"        No bedroom","29,343","±2,160","4.9%","±0.4","243,542","±8,233","6.9%","±0.2","1,383","±503","1.6%","±0.6","30,025","±2,771","2.8%","±0.3","20,169","±2,397","2.4%","±0.3","38,872","±3,482","3.3%","±0.3","5,453","±1,136","3.5%","±0.7","2,649","±973","3.4%","±1.2","3,203","±1,226","4.2%","±1.6"
"        1 bedroom","99,143","±4,384","16.6%","±0.7","662,301","±11,772","18.9%","±0.3","4,911","±869","5.8%","±1.0","143,604","±5,985","13.3%","±0.6","66,146","±4,002","8.0%","±0.5","173,070","±5,920","14.5%","±0.5","23,583","±2,464","15.2%","±1.6","6,198","±1,139","7.9%","±1.5","9,878","±1,437","12.8%","±1.9"
"        2 bedrooms","162,820","±5,039","27.3%","±0.8","1,067,609","±13,392","30.5%","±0.4","17,373","±1,842","20.6%","±2.2","299,894","±7,038","27.7%","±0.7","212,164","±5,566","25.7%","±0.7","364,405","±7,167","30.5%","±0.6","41,706","±2,447","26.9%","±1.6","23,505","±1,845","30.1%","±2.4","17,637","±1,767","22.9%","±2.3"
"        3 bedrooms","187,598","±5,322","31.5%","±0.9","988,503","±13,284","28.2%","±0.4","39,729","±2,503","47.1%","±3.0","323,158","±7,275","29.9%","±0.7","277,113","±5,864","33.5%","±0.7","359,508","±8,517","30.1%","±0.7","53,990","±2,557","34.8%","±1.6","35,549","±2,043","45.5%","±2.6","28,880","±1,701","37.5%","±2.2"
"        4 bedrooms","92,148","±3,726","15.5%","±0.6","430,051","±7,083","12.3%","±0.2","17,049","±2,054","20.2%","±2.4","221,523","±5,079","20.5%","±0.5","188,248","±6,325","22.8%","±0.8","207,353","±6,068","17.4%","±0.5","26,214","±2,034","16.9%","±1.3","9,135","±1,219","11.7%","±1.5","14,384","±1,614","18.7%","±2.1"
"        5 or more bedrooms","24,819","±2,313","4.2%","±0.4","112,342","±3,715","3.2%","±0.1","3,893","±938","4.6%","±1.1","62,838","±3,930","5.8%","±0.4","62,985","±3,297","7.6%","±0.4","51,286","±3,137","4.3%","±0.3","4,197","±874","2.7%","±0.6","1,076","±490","1.4%","±0.6","2,984","±761","3.9%","±1.0"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","571,828","±2,806","571,828","(X)","3,293,095","±8,551","3,293,095","(X)","79,098","±1,205","79,098","(X)","1,022,542","±5,039","1,022,542","(X)","714,728","±5,341","714,728","(X)","1,113,610","±5,279","1,113,610","(X)","144,261","±1,953","144,261","(X)","69,799","±1,440","69,799","(X)","73,754","±1,051","73,754","(X)"
"        Owner-occupied","300,205","±4,712","52.5%","±0.8","1,486,408","±12,066","45.1%","±0.4","40,476","±2,020","51.2%","±2.6","578,950","±7,203","56.6%","±0.7","457,212","±6,275","64.0%","±0.8","579,465","±7,414","52.0%","±0.7","73,953","±2,913","51.3%","±1.9","42,946","±1,935","61.5%","±2.4","39,001","±2,025","52.9%","±2.7"
"        Renter-occupied","271,623","±4,966","47.5%","±0.8","1,806,687","±12,917","54.9%","±0.4","38,622","±2,232","48.8%","±2.6","443,592","±8,129","43.4%","±0.7","257,516","±6,603","36.0%","±0.8","534,145","±8,312","48.0%","±0.7","70,308","±3,017","48.7%","±1.9","26,853","±1,734","38.5%","±2.4","34,753","±2,085","47.1%","±2.7"
"    Average household size of owner-occupied unit","2.93","±0.04","(X)","(X)","3.22","±0.02","(X)","(X)","3.15","±0.11","(X)","(X)","3.01","±0.03","(X)","(X)","3.24","±0.04","(X)","(X)","2.88","±0.03","(X)","(X)","2.73","±0.08","(X)","(X)","2.48","±0.10","(X)","(X)","2.79","±0.10","(X)","(X)"
"    Average household size of renter-occupied unit","2.68","±0.04","(X)","(X)","2.89","±0.02","(X)","(X)","3.49","±0.12","(X)","(X)","3.12","±0.04","(X)","(X)","3.28","±0.06","(X)","(X)","2.89","±0.03","(X)","(X)","3.17","±0.10","(X)","(X)","2.61","±0.14","(X)","(X)","2.76","±0.13","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","571,828","±2,806","571,828","(X)","3,293,095","±8,551","3,293,095","(X)","79,098","±1,205","79,098","(X)","1,022,542","±5,039","1,022,542","(X)","714,728","±5,341","714,728","(X)","1,113,610","±5,279","1,113,610","(X)","144,261","±1,953","144,261","(X)","69,799","±1,440","69,799","(X)","73,754","±1,051","73,754","(X)"
"        Moved in 2015 or later","33,992","±2,252","5.9%","±0.4","202,019","±6,180","6.1%","±0.2","4,960","±1,280","6.3%","±1.6","71,193","±4,374","7.0%","±0.4","51,701","±3,840","7.2%","±0.5","98,765","±5,650","8.9%","±0.5","10,209","±1,486","7.1%","±1.0","6,143","±1,020","8.8%","±1.5","7,242","±1,178","9.8%","±1.6"
"        Moved in 2010 to 2014","231,730","±5,893","40.5%","±1.0","1,255,446","±13,340","38.1%","±0.4","33,969","±2,381","42.9%","±2.7","389,813","±7,945","38.1%","±0.7","299,321","±7,142","41.9%","±0.9","462,726","±8,721","41.6%","±0.8","54,633","±2,712","37.9%","±1.9","25,740","±1,987","36.9%","±2.5","29,538","±2,105","40.0%","±2.7"
"        Moved in 2000 to 2009","152,228","±4,482","26.6%","±0.8","888,100","±12,911","27.0%","±0.4","21,918","±1,833","27.7%","±2.4","272,892","±7,208","26.7%","±0.7","227,366","±6,448","31.8%","±0.9","291,079","±7,932","26.1%","±0.7","37,083","±2,803","25.7%","±1.9","18,586","±1,677","26.6%","±2.3","19,499","±1,858","26.4%","±2.6"
"        Moved in 1990 to 1999","76,627","±2,993","13.4%","±0.5","475,942","±7,814","14.5%","±0.2","9,567","±1,411","12.1%","±1.7","157,754","±5,104","15.4%","±0.5","85,640","±4,246","12.0%","±0.6","132,301","±4,690","11.9%","±0.4","19,996","±1,936","13.9%","±1.3","9,828","±1,227","14.1%","±1.8","8,694","±998","11.8%","±1.3"
"        Moved in 1980 to 1989","38,046","±2,534","6.7%","±0.4","231,201","±5,444","7.0%","±0.2","4,163","±928","5.3%","±1.2","66,827","±3,403","6.5%","±0.3","32,201","±2,216","4.5%","±0.3","69,975","±3,533","6.3%","±0.3","11,419","±1,411","7.9%","±1.0","4,254","±880","6.1%","±1.3","3,800","±758","5.2%","±1.0"
"        Moved in 1979 and earlier","39,205","±2,405","6.9%","±0.4","240,387","±4,852","7.3%","±0.1","4,521","±755","5.7%","±1.0","64,063","±2,843","6.3%","±0.3","18,499","±1,660","2.6%","±0.2","58,764","±2,752","5.3%","±0.2","10,921","±1,446","7.6%","±1.0","5,248","±870","7.5%","±1.2","4,981","±879","6.8%","±1.2"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","571,828","±2,806","571,828","(X)","3,293,095","±8,551","3,293,095","(X)","79,098","±1,205","79,098","(X)","1,022,542","±5,039","1,022,542","(X)","714,728","±5,341","714,728","(X)","1,113,610","±5,279","1,113,610","(X)","144,261","±1,953","144,261","(X)","69,799","±1,440","69,799","(X)","73,754","±1,051","73,754","(X)"
"        No vehicles available","56,013","±2,838","9.8%","±0.5","299,217","±7,834","9.1%","±0.2","5,285","±1,065","6.7%","±1.4","48,400","±3,725","4.7%","±0.4","32,312","±2,735","4.5%","±0.4","64,671","±3,802","5.8%","±0.3","8,406","±1,308","5.8%","±0.9","5,343","±1,083","7.7%","±1.5","5,380","±1,095","7.3%","±1.5"
"        1 vehicle available","186,223","±5,222","32.6%","±0.9","1,141,733","±12,902","34.7%","±0.4","24,398","±2,060","30.8%","±2.6","287,386","±7,464","28.1%","±0.7","211,922","±6,153","29.7%","±0.8","357,068","±9,015","32.1%","±0.8","45,930","±2,752","31.8%","±1.8","24,326","±1,764","34.9%","±2.6","25,770","±2,239","34.9%","±3.0"
"        2 vehicles available","204,855","±5,254","35.8%","±0.9","1,171,983","±12,814","35.6%","±0.4","29,143","±1,925","36.8%","±2.4","415,090","±8,327","40.6%","±0.8","276,445","±5,957","38.7%","±0.8","439,122","±9,317","39.4%","±0.8","52,311","±2,882","36.3%","±2.0","25,255","±2,046","36.2%","±2.7","25,370","±1,792","34.4%","±2.4"
"        3 or more vehicles available","124,737","±4,075","21.8%","±0.7","680,162","±9,956","20.7%","±0.3","20,272","±1,902","25.6%","±2.3","271,666","±5,630","26.6%","±0.6","194,049","±5,683","27.2%","±0.8","252,749","±8,080","22.7%","±0.7","37,614","±2,650","26.1%","±1.8","14,875","±1,540","21.3%","±2.2","17,234","±1,883","23.4%","±2.5"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","571,828","±2,806","571,828","(X)","3,293,095","±8,551","3,293,095","(X)","79,098","±1,205","79,098","(X)","1,022,542","±5,039","1,022,542","(X)","714,728","±5,341","714,728","(X)","1,113,610","±5,279","1,113,610","(X)","144,261","±1,953","144,261","(X)","69,799","±1,440","69,799","(X)","73,754","±1,051","73,754","(X)"
"        Utility gas","404,502","±5,085","70.7%","±0.9","2,177,050","±12,956","66.1%","±0.4","39,989","±2,384","50.6%","±3.0","696,226","±8,277","68.1%","±0.7","528,858","±6,586","74.0%","±0.8","635,353","±8,265","57.1%","±0.7","105,008","±2,759","72.8%","±1.7","29,054","±2,095","41.6%","±2.9","46,739","±2,022","63.4%","±2.4"
"        Bottled, tank, or LP gas","7,662","±1,212","1.3%","±0.2","38,449","±2,508","1.2%","±0.1","3,853","±885","4.9%","±1.1","12,100","±1,447","1.2%","±0.1","21,581","±2,029","3.0%","±0.3","37,768","±2,724","3.4%","±0.2","2,421","±566","1.7%","±0.4","5,180","±750","7.4%","±1.1","2,527","±739","3.4%","±1.0"
"        Electricity","138,917","±5,077","24.3%","±0.9","841,479","±11,962","25.6%","±0.4","31,334","±2,255","39.6%","±2.8","258,097","±7,339","25.2%","±0.7","139,674","±5,071","19.5%","±0.7","362,373","±8,024","32.5%","±0.7","25,907","±2,271","18.0%","±1.5","22,022","±1,940","31.6%","±2.7","21,735","±1,700","29.5%","±2.3"
"        Fuel oil, kerosene, etc.","433","±266","0.1%","±0.1","1,991","±625","0.1%","±0.1","219","±266","0.3%","±0.3","604","±328","0.1%","±0.1","673","±442","0.1%","±0.1","740","±380","0.1%","±0.1","39","±65","0.0%","±0.1","1,670","±524","2.4%","±0.7","52","±88","0.1%","±0.1"
"        Coal or coke","0","±201","0.0%","±0.1","441","±266","0.0%","±0.1","0","±201","0.0%","±0.2","0","±201","0.0%","±0.1","117","±114","0.0%","±0.1","95","±122","0.0%","±0.1","0","±201","0.0%","±0.1","0","±201","0.0%","±0.2","0","±201","0.0%","±0.2"
"        Wood","2,336","±684","0.4%","±0.1","6,479","±1,143","0.2%","±0.1","1,452","±493","1.8%","±0.6","2,144","±836","0.2%","±0.1","3,856","±831","0.5%","±0.1","11,140","±1,886","1.0%","±0.2","1,362","±585","0.9%","±0.4","11,059","±1,358","15.8%","±1.9","1,435","±618","1.9%","±0.8"
"        Solar energy","1,228","±434","0.2%","±0.1","5,880","±998","0.2%","±0.1","384","±320","0.5%","±0.4","2,557","±791","0.3%","±0.1","2,951","±818","0.4%","±0.1","6,218","±1,072","0.6%","±0.1","329","±202","0.2%","±0.1","131","±105","0.2%","±0.2","653","±330","0.9%","±0.4"
"        Other fuel","1,322","±523","0.2%","±0.1","3,616","±700","0.1%","±0.1","1,218","±574","1.5%","±0.7","477","±319","0.0%","±0.1","1,685","±698","0.2%","±0.1","2,389","±719","0.2%","±0.1","78","±128","0.1%","±0.1","584","±274","0.8%","±0.4","195","±169","0.3%","±0.2"
