"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","595,871","±847","595,871","(X)","3,504,348","±1,751","3,504,348","(X)","84,338","±544","84,338","(X)","1,081,042","±1,116","1,081,042","(X)","826,825","±1,005","826,825","(X)","1,194,494","±1,587","1,194,494","(X)","155,143","±623","155,143","(X)","78,112","±501","78,112","(X)","76,966","±523","76,966","(X)"
"        Occupied housing units","571,828","±2,806","96.0%","±0.5","3,293,095","±8,551","94.0%","±0.2","79,098","±1,205","93.8%","±1.4","1,022,542","±5,039","94.6%","±0.4","714,728","±5,341","86.4%","±0.6","1,113,610","±5,279","93.2%","±0.4","144,261","±1,953","93.0%","±1.2","69,799","±1,440","89.4%","±1.6","73,754","±1,051","95.8%","±1.3"
"        Vacant housing units","24,043","±2,745","4.0%","±0.5","211,253","±8,251","6.0%","±0.2","5,240","±1,161","6.2%","±1.4","58,500","±4,730","5.4%","±0.4","112,097","±5,284","13.6%","±0.6","80,884","±5,246","6.8%","±0.4","10,882","±1,881","7.0%","±1.2","8,313","±1,264","10.6%","±1.6","3,212","±1,002","4.2%","±1.3"
"    Homeowner vacancy rate","0.4","±0.2","(X)","(X)","1.2","±0.2","(X)","(X)","1.1","±1.0","(X)","(X)","0.9","±0.2","(X)","(X)","2.3","±0.4","(X)","(X)","1.4","±0.3","(X)","(X)","0.9","±0.6","(X)","(X)","1.0","±0.7","(X)","(X)","0.8","±0.7","(X)","(X)"
"    Rental vacancy rate","2.3","±0.5","(X)","(X)","3.0","±0.2","(X)","(X)","2.9","±1.5","(X)","(X)","3.0","±0.5","(X)","(X)","5.7","±0.7","(X)","(X)","3.3","±0.5","(X)","(X)","2.6","±1.2","(X)","(X)","2.9","±2.0","(X)","(X)","2.9","±1.6","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","595,871","±847","595,871","(X)","3,504,348","±1,751","3,504,348","(X)","84,338","±544","84,338","(X)","1,081,042","±1,116","1,081,042","(X)","826,825","±1,005","826,825","(X)","1,194,494","±1,587","1,194,494","(X)","155,143","±623","155,143","(X)","78,112","±501","78,112","(X)","76,966","±523","76,966","(X)"
"        1-unit, detached","318,900","±4,980","53.5%","±0.8","1,717,380","±11,720","49.0%","±0.3","64,228","±1,873","76.2%","±2.1","544,148","±6,766","50.3%","±0.6","555,217","±5,623","67.2%","±0.7","604,029","±7,425","50.6%","±0.6","90,235","±2,591","58.2%","±1.7","53,564","±1,928","68.6%","±2.4","46,005","±1,719","59.8%","±2.2"
"        1-unit, attached","46,059","±2,670","7.7%","±0.5","225,898","±6,005","6.4%","±0.2","995","±355","1.2%","±0.4","127,777","±5,643","11.8%","±0.5","49,375","±2,680","6.0%","±0.3","113,167","±4,914","9.5%","±0.4","11,999","±1,405","7.7%","±0.9","1,811","±623","2.3%","±0.8","4,801","±915","6.2%","±1.2"
"        2 units","22,180","±2,016","3.7%","±0.3","92,021","±4,724","2.6%","±0.1","3,046","±928","3.6%","±1.1","20,494","±2,768","1.9%","±0.3","12,708","±1,875","1.5%","±0.2","23,041","±2,121","1.9%","±0.2","3,941","±897","2.5%","±0.6","1,513","±756","1.9%","±1.0","1,138","±483","1.5%","±0.6"
"        3 or 4 units","41,491","±3,036","7.0%","±0.5","202,186","±7,469","5.8%","±0.2","4,347","±1,048","5.2%","±1.2","79,834","±4,832","7.4%","±0.4","25,644","±2,442","3.1%","±0.3","62,873","±3,944","5.3%","±0.3","9,238","±1,448","6.0%","±0.9","4,628","±1,223","5.9%","±1.6","5,495","±1,407","7.1%","±1.8"
"        5 to 9 units","31,536","±2,933","5.3%","±0.5","273,504","±7,240","7.8%","±0.2","3,406","±991","4.0%","±1.2","74,505","±4,400","6.9%","±0.4","37,901","±3,125","4.6%","±0.4","93,543","±4,945","7.8%","±0.4","9,380","±1,490","6.0%","±1.0","2,626","±772","3.4%","±1.0","6,181","±1,353","8.0%","±1.8"
"        10 to 19 units","33,503","±2,554","5.6%","±0.4","276,569","±8,538","7.9%","±0.2","1,465","±703","1.7%","±0.8","59,213","±4,249","5.5%","±0.4","31,655","±3,182","3.8%","±0.4","84,746","±4,768","7.1%","±0.4","10,100","±1,487","6.5%","±1.0","1,791","±676","2.3%","±0.9","3,433","±1,019","4.5%","±1.3"
"        20 or more units","95,661","±4,054","16.1%","±0.7","655,979","±9,551","18.7%","±0.3","1,699","±490","2.0%","±0.6","145,848","±4,783","13.5%","±0.4","37,495","±2,906","4.5%","±0.4","167,267","±5,719","14.0%","±0.5","12,118","±1,558","7.8%","±1.0","2,618","±703","3.4%","±0.9","6,128","±1,122","8.0%","±1.5"
"        Mobile home","5,823","±985","1.0%","±0.2","57,988","±3,493","1.7%","±0.1","5,112","±1,052","6.1%","±1.2","28,440","±2,455","2.6%","±0.2","75,485","±3,771","9.1%","±0.5","43,793","±2,764","3.7%","±0.2","7,919","±1,185","5.1%","±0.8","9,240","±1,223","11.8%","±1.6","3,556","±830","4.6%","±1.1"
"        Boat, RV, van, etc.","718","±490","0.1%","±0.1","2,823","±958","0.1%","±0.1","40","±64","0.0%","±0.1","783","±504","0.1%","±0.1","1,345","±586","0.2%","±0.1","2,035","±823","0.2%","±0.1","213","±242","0.1%","±0.2","321","±336","0.4%","±0.4","229","±232","0.3%","±0.3"
