"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        3 or more vehicles available","132,286","±4,477","23.1%","±0.8","739,604","±10,827","22.3%","±0.3","22,480","±2,102","27.8%","±2.5","281,777","±7,870","27.2%","±0.7","217,510","±6,499","30.3%","±0.9","285,482","±6,306","25.3%","±0.6","38,643","±2,687","26.2%","±1.8","18,590","±1,705","25.8%","±2.3","17,644","±1,814","24.0%","±2.4"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","573,589","±3,461","573,589","(X)","3,311,231","±8,549","3,311,231","(X)","80,969","±1,208","80,969","(X)","1,037,312","±5,286","1,037,312","(X)","718,733","±5,454","718,733","(X)","1,126,419","±6,245","1,126,419","(X)","147,466","±1,981","147,466","(X)","71,968","±1,295","71,968","(X)","73,495","±1,504","73,495","(X)"
"        Utility gas","404,513","±4,680","70.5%","±0.8","2,176,944","±11,329","65.7%","±0.3","36,571","±2,280","45.2%","±2.7","731,728","±8,033","70.5%","±0.7","502,500","±5,683","69.9%","±0.8","660,860","±7,633","58.7%","±0.7","105,631","±2,659","71.6%","±1.8","29,896","±1,756","41.5%","±2.4","48,220","±2,232","65.6%","±2.9"
"        Bottled, tank, or LP gas","8,111","±1,105","1.4%","±0.2","42,703","±2,653","1.3%","±0.1","2,541","±691","3.1%","±0.8","14,788","±1,779","1.4%","±0.2","18,197","±1,797","2.5%","±0.2","38,640","±2,684","3.4%","±0.2","3,436","±799","2.3%","±0.5","8,198","±1,241","11.4%","±1.7","1,830","±664","2.5%","±0.9"
"        Electricity","143,074","±4,913","24.9%","±0.8","883,055","±11,214","26.7%","±0.3","37,232","±2,203","46.0%","±2.8","238,871","±6,662","23.0%","±0.6","175,913","±5,402","24.5%","±0.7","353,171","±8,008","31.4%","±0.6","29,732","±2,790","20.2%","±1.8","21,391","±2,321","29.7%","±3.1","20,951","±2,052","28.5%","±2.7"
"        Fuel oil, kerosene, etc.","668","±534","0.1%","±0.1","2,263","±666","0.1%","±0.1","66","±108","0.1%","±0.1","333","±262","0.0%","±0.1","424","±321","0.1%","±0.1","1,591","±728","0.1%","±0.1","101","±161","0.1%","±0.1","1,489","±487","2.1%","±0.7","31","±52","0.0%","±0.1"
"        Coal or coke","88","±105","0.0%","±0.1","641","±578","0.0%","±0.1","81","±101","0.1%","±0.1","0","±210","0.0%","±0.1","42","±69","0.0%","±0.1","57","±94","0.0%","±0.1","0","±210","0.0%","±0.1","0","±210","0.0%","±0.3","0","±210","0.0%","±0.2"
"        Wood","2,226","±607","0.4%","±0.1","6,645","±985","0.2%","±0.1","1,732","±591","2.1%","±0.7","1,448","±605","0.1%","±0.1","3,383","±904","0.5%","±0.1","8,810","±1,378","0.8%","±0.1","767","±321","0.5%","±0.2","9,326","±1,293","13.0%","±1.8","884","±431","1.2%","±0.6"
"        Solar energy","2,315","±688","0.4%","±0.1","9,662","±1,229","0.3%","±0.1","736","±382","0.9%","±0.5","4,189","±1,257","0.4%","±0.1","4,667","±1,018","0.6%","±0.1","13,602","±1,800","1.2%","±0.2","628","±313","0.4%","±0.2","438","±195","0.6%","±0.3","848","±401","1.2%","±0.5"
"        Other fuel","978","±365","0.2%","±0.1","3,851","±850","0.1%","±0.1","1,153","±628","1.4%","±0.8","533","±295","0.1%","±0.1","2,214","±856","0.3%","±0.1","3,161","±1,008","0.3%","±0.1","151","±170","0.1%","±0.1","830","±482","1.2%","±0.7","206","±313","0.3%","±0.4"
"        No fuel used","11,616","±1,465","2.0%","±0.3","185,467","±5,645","5.6%","±0.2","857","±412","1.1%","±0.5","45,422","±3,118","4.4%","±0.3","11,393","±1,781","1.6%","±0.2","46,527","±3,815","4.1%","±0.3","7,020","±1,636","4.8%","±1.1","400","±331","0.6%","±0.5","525","±349","0.7%","±0.5"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","573,589","±3,461","573,589","(X)","3,311,231","±8,549","3,311,231","(X)","80,969","±1,208","80,969","(X)","1,037,312","±5,286","1,037,312","(X)","718,733","±5,454","718,733","(X)","1,126,419","±6,245","1,126,419","(X)","147,466","±1,981","147,466","(X)","71,968","±1,295","71,968","(X)","73,495","±1,504","73,495","(X)"
"        Lacking complete plumbing facilities","2,624","±873","0.5%","±0.2","15,532","±1,731","0.5%","±0.1","169","±153","0.2%","±0.2","2,328","±720","0.2%","±0.1","2,785","±942","0.4%","±0.1","4,490","±1,167","0.4%","±0.1","103","±86","0.1%","±0.1","313","±294","0.4%","±0.4","348","±385","0.5%","±0.5"
"        Lacking complete kitchen facilities","5,941","±1,044","1.0%","±0.2","50,046","±3,316","1.5%","±0.1","492","±403","0.6%","±0.5","12,381","±1,702","1.2%","±0.2","6,294","±1,330","0.9%","±0.2","10,954","±1,951","1.0%","±0.2","1,683","±550","1.1%","±0.4","726","±480","1.0%","±0.7","769","±549","1.0%","±0.7"
"        No telephone service available","3,584","±720","0.6%","±0.1","39,902","±3,242","1.2%","±0.1","530","±303","0.7%","±0.4","10,576","±1,863","1.0%","±0.2","19,250","±2,738","2.7%","±0.4","13,461","±1,750","1.2%","±0.2","1,481","±568","1.0%","±0.4","1,064","±497","1.5%","±0.7","883","±568","1.2%","±0.8"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","573,589","±3,461","573,589","(X)","3,311,231","±8,549","3,311,231","(X)","80,969","±1,208","80,969","(X)","1,037,312","±5,286","1,037,312","(X)","718,733","±5,454","718,733","(X)","1,126,419","±6,245","1,126,419","(X)","147,466","±1,981","147,466","(X)","71,968","±1,295","71,968","(X)","73,495","±1,504","73,495","(X)"
"        1.00 or less","525,288","±4,588","91.6%","±0.6","2,940,329","±11,124","88.8%","±0.3","73,782","±1,787","91.1%","±1.5","940,621","±6,416","90.7%","±0.4","670,957","±6,189","93.4%","±0.4","1,047,009","±7,759","93.0%","±0.4","133,999","±2,864","90.9%","±1.3","69,507","±1,559","96.6%","±1.2","69,094","±1,785","94.0%","±1.5"
"        1.01 to 1.50","30,492","±2,883","5.3%","±0.5","216,024","±7,799","6.5%","±0.2","5,480","±1,222","6.8%","±1.5","59,422","±3,504","5.7%","±0.3","32,682","±3,164","4.5%","±0.4","54,617","±4,056","4.8%","±0.4","8,470","±1,517","5.7%","±1.0","2,103","±866","2.9%","±1.2","3,261","±995","4.4%","±1.3"
"        1.51 or more","17,809","±2,111","3.1%","±0.4","154,878","±5,444","4.7%","±0.2","1,707","±634","2.1%","±0.8","37,269","±3,217","3.6%","±0.3","15,094","±1,960","2.1%","±0.3","24,793","±2,551","2.2%","±0.2","4,997","±1,170","3.4%","±0.8","358","±228","0.5%","±0.3","1,140","±594","1.6%","±0.8"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","305,888","±5,264","305,888","(X)","1,510,464","±12,699","1,510,464","(X)","39,490","±2,160","39,490","(X)","595,020","±7,820","595,020","(X)","476,441","±7,720","476,441","(X)","602,549","±7,690","602,549","(X)","75,419","±2,718","75,419","(X)","46,439","±1,935","46,439","(X)","36,886","±1,824","36,886","(X)"
"        Less than $50,000","3,504","±730","1.1%","±0.2","25,501","±2,332","1.7%","±0.2","2,375","±676","6.0%","±1.8","9,906","±1,474","1.7%","±0.2","21,913","±1,783","4.6%","±0.4","16,490","±1,865","2.7%","±0.3","1,090","±544","1.4%","±0.7","3,224","±747","6.9%","±1.6","1,211","±602","3.3%","±1.6"
"        $50,000 to $99,999","2,862","±692","0.9%","±0.2","19,558","±1,773","1.3%","±0.1","926","±374","2.3%","±0.9","10,414","±1,366","1.8%","±0.2","14,048","±1,612","2.9%","±0.3","10,576","±1,556","1.8%","±0.3","1,489","±625","2.0%","±0.8","1,002","±360","2.2%","±0.8","499","±302","1.4%","±0.8"
"        $100,000 to $149,999","2,411","±798","0.8%","±0.3","12,073","±1,439","0.8%","±0.1","2,139","±716","5.4%","±1.8","5,574","±987","0.9%","±0.2","14,675","±1,782","3.1%","±0.4","8,863","±1,601","1.5%","±0.3","607","±331","0.8%","±0.4","3,856","±995","8.3%","±2.1","547","±305","1.5%","±0.8"
"        $150,000 to $199,999","2,012","±597","0.7%","±0.2","15,240","±1,497","1.0%","±0.1","6,914","±1,241","17.5%","±2.9","5,300","±964","0.9%","±0.2","28,031","±2,612","5.9%","±0.5","7,691","±1,206","1.3%","±0.2","1,138","±418","1.5%","±0.6","6,841","±1,174","14.7%","±2.5","1,059","±429","2.9%","±1.2"
"        $200,000 to $299,999","6,651","±1,144","2.2%","±0.4","81,719","±3,340","5.4%","±0.2","13,055","±1,426","33.1%","±3.3","17,112","±1,880","2.9%","±0.3","94,542","±4,361","19.8%","±0.8","28,986","±2,393","4.8%","±0.4","7,540","±1,192","10.0%","±1.6","14,422","±1,730","31.1%","±3.3","4,604","±983","12.5%","±2.6"
"        $300,000 to $499,999","38,109","±2,577","12.5%","±0.8","432,194","±8,800","28.6%","±0.5","9,839","±1,556","24.9%","±3.6","93,536","±4,090","15.7%","±0.7","209,885","±6,006","44.1%","±1.0","178,029","±6,618","29.5%","±1.0","23,127","±1,976","30.7%","±2.4","12,800","±1,442","27.6%","±2.8","14,948","±1,691","40.5%","±3.7"
"        $500,000 to $999,999","170,957","±4,832","55.9%","±1.1","672,911","±8,401","44.5%","±0.5","3,211","±715","8.1%","±1.8","351,441","±6,872","59.1%","±0.8","82,906","±4,000","17.4%","±0.8","279,501","±6,582","46.4%","±1.0","22,045","±2,021","29.2%","±2.5","3,364","±737","7.2%","±1.6","11,906","±1,192","32.3%","±3.1"
"        $1,000,000 or more","79,382","±3,364","26.0%","±1.0","251,268","±5,801","16.6%","±0.4","1,031","±637","2.6%","±1.6","101,737","±4,178","17.1%","±0.7","10,441","±1,384","2.2%","±0.3","72,413","±3,901","12.0%","±0.6","18,383","±1,737","24.4%","±2.0","930","±455","2.0%","±1.0","2,112","±526","5.7%","±1.4"
"        Median (dollars)","781,000","±11,652","(X)","(X)","588,700","±3,462","(X)","(X)","253,700","±11,710","(X)","(X)","679,400","±5,443","(X)","(X)","352,700","±3,476","(X)","(X)","563,800","±6,340","(X)","(X)","567,600","±43,640","(X)","(X)","248,900","±8,442","(X)","(X)","430,400","±20,155","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","305,888","±5,264","305,888","(X)","1,510,464","±12,699","1,510,464","(X)","39,490","±2,160","39,490","(X)","595,020","±7,820","595,020","(X)","476,441","±7,720","476,441","(X)","602,549","±7,690","602,549","(X)","75,419","±2,718","75,419","(X)","46,439","±1,935","46,439","(X)","36,886","±1,824","36,886","(X)"
"        Housing units with a mortgage","226,133","±5,159","73.9%","±1.0","1,084,626","±11,316","71.8%","±0.5","24,930","±2,143","63.1%","±3.7","420,376","±8,835","70.6%","±0.9","340,988","±7,441","71.6%","±0.9","435,261","±7,922","72.2%","±0.9","49,829","±2,680","66.1%","±2.6","27,450","±2,040","59.1%","±3.5","25,077","±1,926","68.0%","±3.5"
"        Housing units without a mortgage","79,755","±3,308","26.1%","±1.0","425,838","±8,807","28.2%","±0.5","14,560","±1,543","36.9%","±3.7","174,644","±4,896","29.4%","±0.9","135,453","±4,476","28.4%","±0.9","167,288","±6,075","27.8%","±0.9","25,590","±2,144","33.9%","±2.6","18,989","±1,775","40.9%","±3.5","11,809","±1,320","32.0%","±3.5"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage","226,133","±5,159","226,133","(X)","1,084,626","±11,316","1,084,626","(X)","24,930","±2,143","24,930","(X)","420,376","±8,835","420,376","(X)","340,988","±7,441","340,988","(X)","435,261","±7,922","435,261","(X)","49,829","±2,680","49,829","(X)","27,450","±2,040","27,450","(X)","25,077","±1,926","25,077","(X)"
"        Less than $500","407","±217","0.2%","±0.1","3,215","±725","0.3%","±0.1","319","±260","1.3%","±1.0","1,035","±407","0.2%","±0.1","2,102","±579","0.6%","±0.2","2,125","±629","0.5%","±0.1","631","±471","1.3%","±0.9","282","±228","1.0%","±0.8","124","±124","0.5%","±0.5"
"        $500 to $999","4,739","±839","2.1%","±0.4","40,019","±2,514","3.7%","±0.2","3,807","±975","15.3%","±3.6","11,782","±1,343","2.8%","±0.3","23,704","±2,524","7.0%","±0.7","16,302","±1,862","3.7%","±0.4","3,046","±812","6.1%","±1.6","3,594","±829","13.1%","±2.9","1,647","±666","6.6%","±2.6"
"        $1,000 to $1,499","14,409","±1,448","6.4%","±0.6","129,920","±5,248","12.0%","±0.5","9,151","±1,306","36.7%","±4.4","35,490","±2,647","8.4%","±0.6","68,325","±3,893","20.0%","±1.0","45,077","±3,207","10.4%","±0.7","6,928","±1,197","13.9%","±2.5","9,479","±1,549","34.5%","±4.6","3,144","±807","12.5%","±3.2"
"        $1,500 to $1,999","29,212","±2,368","12.9%","±1.0","201,177","±6,354","18.5%","±0.5","5,134","±1,089","20.6%","±4.1","66,487","±3,552","15.8%","±0.7","88,941","±4,869","26.1%","±1.4","72,447","±4,458","16.6%","±0.9","10,540","±1,285","21.2%","±2.6","7,060","±1,188","25.7%","±4.3","5,644","±1,131","22.5%","±4.0"
"        $2,000 to $2,499","37,443","±3,169","16.6%","±1.2","205,796","±6,787","19.0%","±0.6","3,604","±965","14.5%","±3.7","73,509","±3,558","17.5%","±0.8","70,129","±3,764","20.6%","±1.0","89,783","±4,568","20.6%","±1.0","7,915","±1,483","15.9%","±2.8","3,903","±990","14.2%","±3.3","6,397","±1,226","25.5%","±4.3"
"        $2,500 to $2,999","38,141","±2,682","16.9%","±1.2","166,940","±5,130","15.4%","±0.5","1,643","±517","6.6%","±1.9","73,553","±4,189","17.5%","±0.9","45,496","±3,213","13.3%","±0.9","76,447","±4,527","17.6%","±1.0","6,621","±1,419","13.3%","±2.6","1,587","±427","5.8%","±1.6","3,510","±1,144","14.0%","±4.4"
"        $3,000 or more","101,782","±4,525","45.0%","±1.7","337,559","±8,135","31.1%","±0.7","1,272","±556","5.1%","±2.2","158,520","±5,639","37.7%","±1.1","42,291","±3,150","12.4%","±0.8","133,080","±5,302","30.6%","±1.1","14,148","±1,738","28.4%","±3.0","1,545","±486","5.6%","±1.7","4,611","±907","18.4%","±3.6"
"        Median (dollars)","2,852","±47","(X)","(X)","2,408","±19","(X)","(X)","1,454","±68","(X)","(X)","2,649","±29","(X)","(X)","1,926","±23","(X)","(X)","2,455","±26","(X)","(X)","2,238","±97","(X)","(X)","1,524","±71","(X)","(X)","2,155","±85","(X)","(X)"
"    Housing units without a mortgage","79,755","±3,308","79,755","(X)","425,838","±8,807","425,838","(X)","14,560","±1,543","14,560","(X)","174,644","±4,896","174,644","(X)","135,453","±4,476","135,453","(X)","167,288","±6,075","167,288","(X)","25,590","±2,144","25,590","(X)","18,989","±1,775","18,989","(X)","11,809","±1,320","11,809","(X)"
"        Less than $250","3,178","±708","4.0%","±0.9","36,280","±2,505","8.5%","±0.5","1,433","±512","9.8%","±3.4","14,436","±1,449","8.3%","±0.8","15,296","±2,004","11.3%","±1.4","18,078","±2,054","10.8%","±1.1","2,134","±791","8.3%","±3.0","1,846","±544","9.7%","±2.8","1,067","±522","9.0%","±4.2"
"        $250 to $399","10,788","±1,346","13.5%","±1.6","74,249","±3,740","17.4%","±0.8","4,294","±1,038","29.5%","±6.0","26,508","±2,204","15.2%","±1.2","23,706","±2,349","17.5%","±1.6","25,753","±2,343","15.4%","±1.3","3,909","±874","15.3%","±3.2","4,594","±946","24.2%","±4.1","2,474","±650","21.0%","±5.4"
"        $400 to $599","21,234","±1,759","26.6%","±2.0","112,644","±4,148","26.5%","±0.9","5,261","±1,147","36.1%","±6.5","42,012","±2,497","24.1%","±1.3","39,642","±3,073","29.3%","±1.9","42,465","±2,938","25.4%","±1.6","7,211","±1,223","28.2%","±4.4","6,112","±1,053","32.2%","±4.7","3,121","±817","26.4%","±6.5"
"        $600 to $799","17,512","±1,626","22.0%","±1.9","80,039","±4,090","18.8%","±0.8","2,367","±663","16.3%","±4.6","33,947","±2,611","19.4%","±1.4","26,378","±2,502","19.5%","±1.8","31,403","±2,598","18.8%","±1.4","4,567","±1,012","17.8%","±3.6","3,663","±747","19.3%","±3.8","2,819","±693","23.9%","±5.3"
"        $800 to $999","10,625","±1,503","13.3%","±1.6","44,260","±2,676","10.4%","±0.6","470","±272","3.2%","±1.8","22,833","±2,189","13.1%","±1.1","15,735","±1,700","11.6%","±1.2","20,216","±2,049","12.1%","±1.2","3,178","±786","12.4%","±2.9","1,373","±583","7.2%","±2.9","1,044","±430","8.8%","±3.5"
"        $1,000 or more","16,418","±1,550","20.6%","±1.8","78,366","±3,437","18.4%","±0.7","735","±392","5.0%","±2.7","34,908","±2,744","20.0%","±1.5","14,696","±1,565","10.8%","±1.1","29,373","±2,877","17.6%","±1.6","4,591","±976","17.9%","±3.3","1,401","±528","7.4%","±2.7","1,284","±465","10.9%","±3.5"
"        Median (dollars)","648","±19","(X)","(X)","582","±8","(X)","(X)","459","±32","(X)","(X)","624","±15","(X)","(X)","547","±14","(X)","(X)","588","±15","(X)","(X)","586","±38","(X)","(X)","495","±29","(X)","(X)","540","±60","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","225,600","±5,250","225,600","(X)","1,077,944","±11,263","1,077,944","(X)","24,819","±2,157","24,819","(X)","418,330","±8,879","418,330","(X)","337,119","±7,284","337,119","(X)","433,053","±8,054","433,053","(X)","49,722","±2,675","49,722","(X)","27,417","±2,035","27,417","(X)","25,027","±1,919","25,027","(X)"
"        Less than 20.0 percent","81,484","±3,447","36.1%","±1.3","321,158","±7,823","29.8%","±0.7","10,129","±1,652","40.8%","±5.1","134,954","±4,501","32.3%","±1.0","106,437","±4,599","31.6%","±1.2","139,482","±5,017","32.2%","±1.2","17,672","±1,972","35.5%","±3.6","11,028","±1,554","40.2%","±4.6","9,860","±1,362","39.4%","±4.7"
"        20.0 to 24.9 percent","39,110","±3,066","17.3%","±1.3","155,433","±5,765","14.4%","±0.5","3,676","±891","14.8%","±3.4","65,383","±4,198","15.6%","±0.9","54,349","±3,843","16.1%","±1.1","72,668","±3,713","16.8%","±0.8","7,459","±1,331","15.0%","±2.5","3,979","±1,004","14.5%","±3.5","5,208","±1,117","20.8%","±4.0"
"        25.0 to 29.9 percent","30,880","±2,397","13.7%","±1.0","128,727","±5,783","11.9%","±0.5","2,631","±724","10.6%","±2.9","52,199","±3,527","12.5%","±0.8","41,339","±3,319","12.3%","±0.9","56,542","±3,854","13.1%","±0.8","6,577","±1,328","13.2%","±2.6","2,520","±704","9.2%","±2.6","2,926","±800","11.7%","±3.0"
"        30.0 to 34.9 percent","21,033","±2,103","9.3%","±0.9","96,453","±4,321","8.9%","±0.4","1,937","±633","7.8%","±2.5","38,039","±3,245","9.1%","±0.7","28,354","±2,828","8.4%","±0.8","40,029","±3,134","9.2%","±0.7","4,578","±986","9.2%","±1.9","2,247","±686","8.2%","±2.5","1,705","±687","6.8%","±2.6"
"        35.0 percent or more","53,093","±3,092","23.5%","±1.3","376,173","±8,415","34.9%","±0.7","6,446","±1,047","26.0%","±3.6","127,755","±5,188","30.5%","±1.1","106,640","±5,249","31.6%","±1.3","124,332","±5,679","28.7%","±1.1","13,436","±1,974","27.0%","±3.6","7,643","±1,354","27.9%","±4.4","5,328","±914","21.3%","±3.5"
"    Not computed","533","±297","(X)","(X)","6,682","±1,283","(X)","(X)","111","±112","(X)","(X)","2,046","±610","(X)","(X)","3,869","±1,132","(X)","(X)","2,208","±867","(X)","(X)","107","±83","(X)","(X)","33","±55","(X)","(X)","50","±90","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","78,815","±3,272","78,815","(X)","419,116","±8,661","419,116","(X)","14,280","±1,517","14,280","(X)","172,700","±4,828","172,700","(X)","131,775","±4,444","131,775","(X)","165,497","±5,937","165,497","(X)","25,348","±2,110","25,348","(X)","18,872","±1,764","18,872","(X)","11,809","±1,320","11,809","(X)"
"        Less than 10.0 percent","39,543","±2,364","50.2%","±2.3","192,355","±6,009","45.9%","±1.1","5,953","±1,235","41.7%","±7.7","87,160","±3,982","50.5%","±1.9","51,099","±3,312","38.8%","±2.0","77,064","±4,556","46.6%","±1.9","12,102","±1,453","47.7%","±4.9","7,459","±1,102","39.5%","±5.1","6,168","±988","52.2%","±6.3"
"        10.0 to 14.9 percent","11,090","±1,395","14.1%","±1.6","70,644","±3,480","16.9%","±0.8","2,245","±765","15.7%","±5.0","27,613","±2,633","16.0%","±1.4","24,823","±2,576","18.8%","±1.8","27,927","±2,430","16.9%","±1.4","4,260","±1,062","16.8%","±3.7","3,551","±627","18.8%","±3.4","2,077","±600","17.6%","±4.7"
"        15.0 to 19.9 percent","7,231","±1,073","9.2%","±1.4","41,526","±3,064","9.9%","±0.7","2,230","±843","15.6%","±5.4","16,948","±2,327","9.8%","±1.3","14,259","±1,637","10.8%","±1.3","16,360","±2,073","9.9%","±1.2","2,803","±859","11.1%","±3.4","1,886","±692","10.0%","±3.6","955","±468","8.1%","±3.8"
"        20.0 to 24.9 percent","4,702","±934","6.0%","±1.2","25,945","±2,087","6.2%","±0.5","1,278","±765","8.9%","±5.3","9,807","±1,271","5.7%","±0.7","10,068","±1,716","7.6%","±1.3","11,539","±1,758","7.0%","±1.0","911","±429","3.6%","±1.7","976","±368","5.2%","±1.9","747","±436","6.3%","±3.5"
"        25.0 to 29.9 percent","4,181","±1,061","5.3%","±1.3","18,747","±1,934","4.5%","±0.4","862","±400","6.0%","±2.8","7,123","±1,098","4.1%","±0.6","6,776","±1,246","5.1%","±0.9","7,577","±1,206","4.6%","±0.7","1,363","±591","5.4%","±2.2","1,287","±461","6.8%","±2.3","642","±382","5.4%","±3.2"
"        30.0 to 34.9 percent","2,629","±659","3.3%","±0.8","12,440","±1,446","3.0%","±0.3","283","±206","2.0%","±1.4","4,435","±1,077","2.6%","±0.6","4,376","±991","3.3%","±0.8","4,953","±1,092","3.0%","±0.7","521","±295","2.1%","±1.2","514","±344","2.7%","±1.8","261","±222","2.2%","±1.8"
"        35.0 percent or more","9,439","±1,415","12.0%","±1.7","57,459","±3,677","13.7%","±0.8","1,429","±554","10.0%","±3.8","19,614","±2,365","11.4%","±1.3","20,374","±1,942","15.5%","±1.4","20,077","±2,270","12.1%","±1.3","3,388","±900","13.4%","±3.2","3,199","±865","17.0%","±3.7","959","±377","8.1%","±3.2"
"    Not computed","940","±443","(X)","(X)","6,722","±996","(X)","(X)","280","±234","(X)","(X)","1,944","±670","(X)","(X)","3,678","±911","(X)","(X)","1,791","±636","(X)","(X)","242","±192","(X)","(X)","117","±104","(X)","(X)","0","±210","(X)","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","260,016","±5,338","260,016","(X)","1,758,646","±14,900","1,758,646","(X)","39,260","±2,190","39,260","(X)","432,652","±7,157","432,652","(X)","233,213","±6,582","233,213","(X)","510,377","±9,400","510,377","(X)","69,942","±2,772","69,942","(X)","24,278","±1,704","24,278","(X)","35,129","±1,754","35,129","(X)"
"        Less than $500","13,665","±1,745","5.3%","±0.7","81,286","±4,450","4.6%","±0.3","3,045","±782","7.8%","±2.0","11,611","±1,833","2.7%","±0.4","9,115","±1,550","3.9%","±0.6","19,668","±2,019","3.9%","±0.4","3,412","±1,038","4.9%","±1.5","1,773","±691","7.3%","±2.9","2,862","±797","8.1%","±2.2"
"        $500 to $999","26,254","±2,652","10.1%","±1.0","299,216","±8,598","17.0%","±0.5","16,481","±1,899","42.0%","±4.2","21,649","±2,669","5.0%","±0.6","56,450","±3,652","24.2%","±1.5","57,915","±3,982","11.3%","±0.8","9,103","±1,638","13.0%","±2.3","10,823","±1,516","44.6%","±5.9","8,640","±1,783","24.6%","±4.8"
"        $1,000 to $1,499","57,507","±3,415","22.1%","±1.3","613,166","±11,510","34.9%","±0.6","14,232","±1,770","36.3%","±4.1","102,359","±4,033","23.7%","±0.9","82,070","±4,518","35.2%","±1.7","150,406","±6,153","29.5%","±1.2","19,525","±2,010","27.9%","±2.8","7,346","±1,601","30.3%","±5.7","13,426","±1,582","38.2%","±4.4"
"        $1,500 to $1,999","66,457","±3,470","25.6%","±1.2","404,637","±9,927","23.0%","±0.5","4,812","±1,425","12.3%","±3.5","141,003","±5,825","32.6%","±1.2","50,533","±3,497","21.7%","±1.3","138,378","±6,024","27.1%","±1.1","16,910","±2,147","24.2%","±3.0","2,928","±868","12.1%","±3.6","5,516","±1,079","15.7%","±3.1"
"        $2,000 to $2,499","47,778","±3,325","18.4%","±1.2","199,590","±6,978","11.3%","±0.4","260","±255","0.7%","±0.6","82,813","±4,824","19.1%","±1.1","22,014","±2,590","9.4%","±1.0","80,854","±4,864","15.8%","±0.9","10,426","±2,200","14.9%","±2.9","635","±328","2.6%","±1.3","3,211","±906","9.1%","±2.5"
"        $2,500 to $2,999","26,420","±2,258","10.2%","±0.9","87,811","±6,055","5.0%","±0.3","130","±194","0.3%","±0.5","42,529","±4,154","9.8%","±0.9","8,628","±1,709","3.7%","±0.7","35,565","±2,965","7.0%","±0.5","5,660","±1,326","8.1%","±1.9","474","±467","2.0%","±1.9","921","±482","2.6%","±1.3"
"        $3,000 or more","21,935","±2,449","8.4%","±0.9","72,940","±4,773","4.1%","±0.3","300","±321","0.8%","±0.8","30,688","±2,957","7.1%","±0.7","4,403","±1,239","1.9%","±0.5","27,591","±3,425","5.4%","±0.7","4,906","±1,054","7.0%","±1.5","299","±251","1.2%","±1.0","553","±443","1.6%","±1.2"
"        Median (dollars)","1,745","±22","(X)","(X)","1,402","±7","(X)","(X)","1,003","±41","(X)","(X)","1,786","±15","(X)","(X)","1,313","±19","(X)","(X)","1,598","±20","(X)","(X)","1,587","±61","(X)","(X)","984","±56","(X)","(X)","1,231","±54","(X)","(X)"
"    No rent paid","7,685","±1,401","(X)","(X)","42,121","±2,664","(X)","(X)","2,219","±966","(X)","(X)","9,640","±1,337","(X)","(X)","9,079","±1,299","(X)","(X)","13,493","±1,860","(X)","(X)","2,105","±886","(X)","(X)","1,251","±492","(X)","(X)","1,480","±719","(X)","(X)"
