"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        Boat, RV, van, etc.","52","±87","0.0%","±0.1","2,276","±859","0.1%","±0.1","177","±234","0.2%","±0.3","497","±384","0.0%","±0.1","642","±366","0.1%","±0.1","1,897","±825","0.2%","±0.1","31","±53","0.0%","±0.1","111","±151","0.1%","±0.2","270","±319","0.3%","±0.4"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","606,053","±965","606,053","(X)","3,542,835","±1,940","3,542,835","(X)","85,267","±435","85,267","(X)","1,102,088","±958","1,102,088","(X)","840,273","±1,373","840,273","(X)","1,214,271","±1,461","1,214,271","(X)","157,049","±714","157,049","(X)","78,846","±346","78,846","(X)","77,948","±465","77,948","(X)"
"        Built 2014 or later","9,507","±1,433","1.6%","±0.2","43,327","±3,019","1.2%","±0.1","302","±267","0.4%","±0.3","26,535","±2,526","2.4%","±0.2","19,156","±2,472","2.3%","±0.3","19,172","±2,282","1.6%","±0.2","2,557","±767","1.6%","±0.5","617","±284","0.8%","±0.4","1,073","±435","1.4%","±0.6"
"        Built 2010 to 2013","9,189","±1,417","1.5%","±0.2","43,521","±3,555","1.2%","±0.1","1,219","±521","1.4%","±0.6","19,556","±2,204","1.8%","±0.2","23,403","±2,668","2.8%","±0.3","25,790","±2,776","2.1%","±0.2","4,614","±1,053","2.9%","±0.7","1,161","±461","1.5%","±0.6","1,732","±584","2.2%","±0.8"
"        Built 2000 to 2009","45,773","±2,720","7.6%","±0.5","190,076","±6,683","5.4%","±0.2","19,287","±1,538","22.6%","±1.8","98,226","±4,757","8.9%","±0.4","215,160","±6,226","25.6%","±0.7","146,102","±6,484","12.0%","±0.5","11,911","±1,796","7.6%","±1.1","10,454","±1,158","13.3%","±1.5","15,123","±1,513","19.4%","±1.9"
"        Built 1990 to 1999","52,398","±3,012","8.6%","±0.5","226,992","±6,807","6.4%","±0.2","11,199","±1,230","13.1%","±1.4","124,696","±4,674","11.3%","±0.4","132,555","±5,391","15.8%","±0.6","148,165","±5,614","12.2%","±0.5","14,616","±1,956","9.3%","±1.2","10,437","±1,238","13.2%","±1.6","11,495","±1,477","14.7%","±1.9"
"        Built 1980 to 1989","82,472","±3,793","13.6%","±0.6","408,438","±10,202","11.5%","±0.3","12,592","±1,598","14.8%","±1.9","163,660","±5,848","14.8%","±0.5","184,803","±5,944","22.0%","±0.7","231,852","±7,109","19.1%","±0.6","23,660","±2,251","15.1%","±1.4","16,130","±1,876","20.5%","±2.4","10,203","±1,550","13.1%","±2.0"
"        Built 1970 to 1979","88,240","±4,702","14.6%","±0.8","493,097","±9,824","13.9%","±0.3","15,677","±1,609","18.4%","±1.9","258,412","±7,209","23.4%","±0.7","122,704","±4,429","14.6%","±0.5","272,184","±6,575","22.4%","±0.5","26,735","±2,576","17.0%","±1.6","17,133","±1,930","21.7%","±2.4","14,687","±1,545","18.8%","±2.0"
"        Built 1960 to 1969","78,544","±4,039","13.0%","±0.7","513,238","±9,135","14.5%","±0.3","7,583","±1,447","8.9%","±1.7","217,958","±5,816","19.8%","±0.5","63,079","±3,564","7.5%","±0.4","143,406","±5,664","11.8%","±0.5","32,920","±2,355","21.0%","±1.5","9,197","±1,469","11.7%","±1.9","8,726","±1,156","11.2%","±1.5"
