"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","622,957","±680","622,957","(X)","3,579,423","±2,015","3,579,423","(X)","86,386","±480","86,386","(X)","1,118,148","±1,172","1,118,148","(X)","857,222","±881","857,222","(X)","1,233,923","±1,533","1,233,923","(X)","159,286","±800","159,286","(X)","107,137","±734","107,137","(X)","79,252","±564","79,252","(X)"
"        Occupied housing units","585,632","±3,709","94.0%","±0.6","3,328,398","±9,311","93.0%","±0.3","80,645","±1,718","93.4%","±1.9","1,044,280","±6,750","93.4%","±0.6","734,948","±6,129","85.7%","±0.7","1,132,434","±6,683","91.8%","±0.5","146,466","±2,271","92.0%","±1.3","97,710","±2,076","91.2%","±1.7","76,075","±1,259","96.0%","±1.5"
"        Vacant housing units","37,325","±3,717","6.0%","±0.6","251,025","±9,568","7.0%","±0.3","5,741","±1,641","6.6%","±1.9","73,868","±6,428","6.6%","±0.6","122,274","±6,005","14.3%","±0.7","101,489","±6,612","8.2%","±0.5","12,820","±2,031","8.0%","±1.3","9,427","±1,822","8.8%","±1.7","3,177","±1,176","4.0%","±1.5"
"        Homeowner vacancy rate","1.0","±0.4","(X)","(X)","1.1","±0.2","(X)","(X)","1.2","±1.2","(X)","(X)","1.3","±0.4","(X)","(X)","2.1","±0.4","(X)","(X)","1.1","±0.3","(X)","(X)","1.3","±0.9","(X)","(X)","0.4","±0.5","(X)","(X)","0.0","±0.5","(X)","(X)"
"        Rental vacancy rate","3.4","±0.6","(X)","(X)","4.0","±0.3","(X)","(X)","2.4","±1.9","(X)","(X)","5.0","±0.9","(X)","(X)","4.7","±0.9","(X)","(X)","4.8","±0.7","(X)","(X)","3.8","±1.6","(X)","(X)","2.0","±1.5","(X)","(X)","2.1","±1.4","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","622,957","±680","622,957","(X)","3,579,423","±2,015","3,579,423","(X)","86,386","±480","86,386","(X)","1,118,148","±1,172","1,118,148","(X)","857,222","±881","857,222","(X)","1,233,923","±1,533","1,233,923","(X)","159,286","±800","159,286","(X)","107,137","±734","107,137","(X)","79,252","±564","79,252","(X)"
"        1-unit, detached","325,131","±5,485","52.2%","±0.9","1,706,954","±12,664","47.7%","±0.4","66,690","±1,899","77.2%","±2.2","564,556","±7,858","50.5%","±0.7","589,126","±6,776","68.7%","±0.8","620,323","±8,172","50.3%","±0.7","91,322","±2,856","57.3%","±1.8","70,428","±3,018","65.7%","±2.8","45,588","±2,051","57.5%","±2.5"
"        1-unit, attached","50,750","±3,276","8.1%","±0.5","210,223","±6,937","5.9%","±0.2","1,216","±510","1.4%","±0.6","134,212","±5,683","12.0%","±0.5","41,160","±2,818","4.8%","±0.3","129,909","±5,884","10.5%","±0.5","10,501","±1,892","6.6%","±1.2","7,306","±1,198","6.8%","±1.1","5,625","±1,009","7.1%","±1.3"
