"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        2 units","23,840","±2,335","3.8%","±0.4","104,052","±5,997","2.9%","±0.2","2,254","±999","2.6%","±1.2","17,311","±2,376","1.5%","±0.2","9,054","±1,684","1.1%","±0.2","17,051","±1,970","1.4%","±0.2","5,058","±1,322","3.2%","±0.8","3,778","±1,257","3.5%","±1.2","1,734","±781","2.2%","±1.0"
"        3 or 4 units","42,049","±3,175","6.7%","±0.5","215,707","±7,859","6.0%","±0.2","3,688","±966","4.3%","±1.1","81,125","±4,684","7.3%","±0.4","33,643","±3,430","3.9%","±0.4","51,288","±3,839","4.2%","±0.3","7,720","±1,460","4.8%","±0.9","6,137","±1,280","5.7%","±1.2","4,141","±1,044","5.2%","±1.3"
"        5 to 9 units","34,068","±2,731","5.5%","±0.4","287,412","±9,384","8.0%","±0.3","3,173","±1,094","3.7%","±1.3","73,458","±4,462","6.6%","±0.4","39,157","±3,853","4.6%","±0.5","86,600","±5,202","7.0%","±0.4","13,021","±2,082","8.2%","±1.3","4,945","±1,404","4.6%","±1.3","5,785","±1,559","7.3%","±2.0"
"        10 to 19 units","32,649","±2,967","5.2%","±0.5","274,850","±9,139","7.7%","±0.3","1,419","±653","1.6%","±0.8","59,505","±4,299","5.3%","±0.4","24,542","±2,758","2.9%","±0.3","87,141","±5,572","7.1%","±0.5","10,531","±1,929","6.6%","±1.2","3,188","±1,244","3.0%","±1.2","5,738","±1,372","7.2%","±1.7"
"        20 or more units","106,782","±4,640","17.1%","±0.7","716,568","±12,944","20.0%","±0.4","2,133","±950","2.5%","±1.1","155,384","±6,597","13.9%","±0.6","43,007","±3,369","5.0%","±0.4","193,371","±7,405","15.7%","±0.6","14,430","±1,964","9.1%","±1.2","5,840","±1,426","5.5%","±1.3","7,778","±1,465","9.8%","±1.9"
"        Mobile home","7,422","±1,061","1.2%","±0.2","60,780","±3,139","1.7%","±0.1","5,640","±1,367","6.5%","±1.6","31,762","±2,417","2.8%","±0.2","76,357","±4,095","8.9%","±0.5","47,273","±3,071","3.8%","±0.2","6,703","±1,170","4.2%","±0.7","5,497","±1,414","5.1%","±1.3","2,619","±903","3.3%","±1.1"
"        Boat, RV, van, etc.","266","±178","0.0%","±0.1","2,877","±938","0.1%","±0.1","173","±215","0.2%","±0.2","835","±584","0.1%","±0.1","1,176","±458","0.1%","±0.1","967","±533","0.1%","±0.1","0","±216","0.0%","±0.1","18","±33","0.0%","±0.1","244","±314","0.3%","±0.4"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","622,957","±680","622,957","(X)","3,579,423","±2,015","3,579,423","(X)","86,386","±480","86,386","(X)","1,118,148","±1,172","1,118,148","(X)","857,222","±881","857,222","(X)","1,233,923","±1,533","1,233,923","(X)","159,286","±800","159,286","(X)","107,137","±734","107,137","(X)","79,252","±564","79,252","(X)"
"        Built 2014 or later","18,031","±1,862","2.9%","±0.3","74,100","±4,054","2.1%","±0.1","2,444","±1,157","2.8%","±1.3","53,164","±3,674","4.8%","±0.3","38,684","±3,270","4.5%","±0.4","40,602","±3,750","3.3%","±0.3","4,241","±997","2.7%","±0.6","1,286","±559","1.2%","±0.5","2,404","±823","3.0%","±1.0"
"        Built 2010 to 2013","8,865","±1,316","1.4%","±0.2","45,678","±3,662","1.3%","±0.1","1,123","±608","1.3%","±0.7","20,244","±2,909","1.8%","±0.3","19,166","±2,324","2.2%","±0.3","21,445","±2,692","1.7%","±0.2","2,539","±755","1.6%","±0.5","1,030","±567","1.0%","±0.5","2,361","±760","3.0%","±1.0"
"        Built 2000 to 2009","46,168","±3,263","7.4%","±0.5","186,336","±6,530","5.2%","±0.2","15,883","±2,066","18.4%","±2.4","88,675","±5,639","7.9%","±0.5","209,704","±7,561","24.5%","±0.9","142,415","±6,554","11.5%","±0.5","11,089","±1,516","7.0%","±1.0","8,561","±1,641","8.0%","±1.5","11,032","±1,520","13.9%","±1.9"
"        Built 1990 to 1999","53,885","±3,481","8.6%","±0.6","224,846","±6,418","6.3%","±0.2","12,744","±1,872","14.8%","±2.2","123,150","±5,404","11.0%","±0.5","144,433","±5,945","16.8%","±0.7","146,659","±6,416","11.9%","±0.5","16,846","±2,017","10.6%","±1.3","8,073","±1,392","7.5%","±1.3","11,561","±1,777","14.6%","±2.3"
"        Built 1980 to 1989","66,967","±3,546","10.7%","±0.6","417,428","±10,488","11.7%","±0.3","11,535","±1,697","13.4%","±2.0","159,683","±6,187","14.3%","±0.6","182,875","±6,521","21.3%","±0.8","218,981","±8,227","17.7%","±0.7","23,752","±2,334","14.9%","±1.5","17,777","±2,657","16.6%","±2.5","10,567","±1,567","13.3%","±2.0"
"        Built 1970 to 1979","98,930","±4,730","15.9%","±0.8","495,151","±10,538","13.8%","±0.3","15,796","±2,215","18.3%","±2.5","254,963","±7,723","22.8%","±0.7","116,474","±5,161","13.6%","±0.6","281,627","±8,035","22.8%","±0.7","28,522","±2,721","17.9%","±1.7","22,769","±2,683","21.3%","±2.5","15,673","±2,016","19.8%","±2.6"
"        Built 1960 to 1969","87,371","±4,743","14.0%","±0.8","526,484","±11,428","14.7%","±0.3","7,968","±1,451","9.2%","±1.7","216,619","±6,719","19.4%","±0.6","63,170","±3,978","7.4%","±0.5","156,495","±5,929","12.7%","±0.5","28,999","±2,288","18.2%","±1.4","15,502","±2,176","14.5%","±2.0","9,747","±1,275","12.3%","±1.6"
"        Built 1950 to 1959","82,772","±4,218","13.3%","±0.7","719,433","±12,763","20.1%","±0.4","8,837","±1,706","10.2%","±2.0","148,821","±5,411","13.3%","±0.5","48,539","±2,855","5.7%","±0.3","131,516","±5,503","10.7%","±0.4","23,109","±2,249","14.5%","±1.4","10,353","±1,630","9.7%","±1.5","8,120","±1,543","10.2%","±1.9"
"        Built 1940 to 1949","40,903","±2,760","6.6%","±0.4","353,755","±8,544","9.9%","±0.2","5,268","±1,151","6.1%","±1.3","26,177","±2,948","2.3%","±0.3","16,565","±2,398","1.9%","±0.3","44,564","±3,771","3.6%","±0.3","6,345","±1,415","4.0%","±0.9","8,887","±1,893","8.3%","±1.8","3,301","±1,039","4.2%","±1.3"
"        Built 1939 or earlier","119,065","±4,253","19.1%","±0.7","536,212","±10,913","15.0%","±0.3","4,788","±1,252","5.5%","±1.5","26,652","±2,673","2.4%","±0.2","17,612","±2,417","2.1%","±0.3","49,619","±3,562","4.0%","±0.3","13,844","±1,830","8.7%","±1.2","12,899","±1,826","12.0%","±1.7","4,486","±1,121","5.7%","±1.4"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","622,957","±680","622,957","(X)","3,579,423","±2,015","3,579,423","(X)","86,386","±480","86,386","(X)","1,118,148","±1,172","1,118,148","(X)","857,222","±881","857,222","(X)","1,233,923","±1,533","1,233,923","(X)","159,286","±800","159,286","(X)","107,137","±734","107,137","(X)","79,252","±564","79,252","(X)"
"        1 room","25,654","±2,358","4.1%","±0.4","228,559","±7,785","6.4%","±0.2","2,210","±1,022","2.6%","±1.2","29,152","±3,186","2.6%","±0.3","14,616","±2,162","1.7%","±0.3","38,781","±3,500","3.1%","±0.3","7,344","±1,709","4.6%","±1.1","4,643","±1,381","4.3%","±1.3","1,192","±523","1.5%","±0.7"
"        2 rooms","36,320","±3,101","5.8%","±0.5","197,008","±6,774","5.5%","±0.2","1,596","±940","1.8%","±1.1","40,331","±3,978","3.6%","±0.4","29,841","±2,869","3.5%","±0.3","55,392","±3,806","4.5%","±0.3","6,097","±1,296","3.8%","±0.8","6,152","±1,766","5.7%","±1.7","3,322","±880","4.2%","±1.1"
"        3 rooms","96,000","±4,475","15.4%","±0.7","591,494","±12,636","16.5%","±0.4","3,241","±921","3.8%","±1.1","140,581","±6,517","12.6%","±0.6","85,192","±5,124","9.9%","±0.6","162,819","±6,497","13.2%","±0.5","20,523","±2,638","12.9%","±1.6","9,940","±1,918","9.3%","±1.8","9,844","±1,519","12.4%","±1.9"
"        4 rooms","131,939","±4,972","21.2%","±0.8","765,678","±11,216","21.4%","±0.3","14,081","±2,330","16.3%","±2.7","234,425","±7,403","21.0%","±0.7","144,686","±7,491","16.9%","±0.9","263,580","±7,807","21.4%","±0.6","32,844","±2,255","20.6%","±1.4","19,882","±2,715","18.6%","±2.5","15,671","±2,111","19.8%","±2.6"
"        5 rooms","112,208","±4,712","18.0%","±0.8","637,043","±14,343","17.8%","±0.4","22,661","±2,363","26.2%","±2.7","198,015","±6,852","17.7%","±0.6","170,520","±6,549","19.9%","±0.8","226,569","±7,219","18.4%","±0.6","31,825","±2,917","20.0%","±1.8","21,723","±2,252","20.3%","±2.1","15,553","±2,185","19.6%","±2.8"
"        6 rooms","92,278","±4,648","14.8%","±0.7","521,626","±10,228","14.6%","±0.3","19,241","±2,418","22.3%","±2.8","181,109","±6,564","16.2%","±0.6","154,239","±5,440","18.0%","±0.6","197,000","±7,017","16.0%","±0.6","25,105","±2,417","15.8%","±1.5","19,465","±1,980","18.2%","±1.8","13,129","±1,610","16.6%","±2.0"
"        7 rooms","52,035","±3,163","8.4%","±0.5","278,307","±7,877","7.8%","±0.2","10,769","±1,723","12.5%","±2.0","121,855","±4,745","10.9%","±0.4","99,051","±5,642","11.6%","±0.7","120,582","±5,985","9.8%","±0.5","16,120","±1,766","10.1%","±1.1","12,386","±1,953","11.6%","±1.8","8,887","±1,392","11.2%","±1.8"
"        8 rooms","36,824","±2,854","5.9%","±0.5","190,308","±5,784","5.3%","±0.2","7,291","±1,838","8.4%","±2.1","82,416","±4,083","7.4%","±0.4","79,736","±4,294","9.3%","±0.5","82,695","±5,068","6.7%","±0.4","9,443","±1,390","5.9%","±0.9","6,648","±1,110","6.2%","±1.0","5,395","±1,013","6.8%","±1.3"
"        9 rooms or more","39,699","±2,794","6.4%","±0.4","169,400","±5,520","4.7%","±0.2","5,296","±1,401","6.1%","±1.6","90,264","±4,636","8.1%","±0.4","79,341","±3,972","9.3%","±0.5","86,505","±4,134","7.0%","±0.3","9,985","±1,513","6.3%","±0.9","6,298","±1,246","5.9%","±1.2","6,259","±1,087","7.9%","±1.4"
"        Median rooms","4.7","±0.1","(X)","(X)","4.5","±0.1","(X)","(X)","5.5","±0.2","(X)","(X)","5.1","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","4.9","±0.1","(X)","(X)","4.9","±0.1","(X)","(X)","5.1","±0.1","(X)","(X)","5.1","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","622,957","±680","622,957","(X)","3,579,423","±2,015","3,579,423","(X)","86,386","±480","86,386","(X)","1,118,148","±1,172","1,118,148","(X)","857,222","±881","857,222","(X)","1,233,923","±1,533","1,233,923","(X)","159,286","±800","159,286","(X)","107,137","±734","107,137","(X)","79,252","±564","79,252","(X)"
"        No bedroom","29,508","±2,514","4.7%","±0.4","253,394","±8,088","7.1%","±0.2","2,351","±1,002","2.7%","±1.2","30,959","±3,158","2.8%","±0.3","15,861","±2,139","1.9%","±0.2","43,121","±3,720","3.5%","±0.3","7,822","±1,685","4.9%","±1.1","5,278","±1,455","4.9%","±1.4","1,334","±584","1.7%","±0.7"
"        1 bedroom","100,226","±5,220","16.1%","±0.8","703,665","±13,805","19.7%","±0.4","4,695","±1,138","5.4%","±1.3","149,457","±6,791","13.4%","±0.6","72,047","±3,583","8.4%","±0.4","174,543","±7,349","14.1%","±0.6","23,749","±2,441","14.9%","±1.5","12,289","±2,268","11.5%","±2.1","10,157","±1,534","12.8%","±2.0"
"        2 bedrooms","173,891","±5,471","27.9%","±0.9","1,052,993","±14,395","29.4%","±0.4","17,159","±2,151","19.9%","±2.5","312,014","±8,948","27.9%","±0.8","213,231","±7,889","24.9%","±0.9","372,258","±8,382","30.2%","±0.7","42,179","±2,465","26.5%","±1.5","34,337","±2,973","32.0%","±2.7","20,982","±2,132","26.5%","±2.7"
"        3 bedrooms","190,173","±5,667","30.5%","±0.9","1,012,236","±13,666","28.3%","±0.4","40,483","±2,775","46.9%","±3.3","330,926","±8,130","29.6%","±0.7","291,050","±7,930","34.0%","±0.9","370,791","±9,373","30.0%","±0.8","55,900","±2,607","35.1%","±1.7","38,664","±2,338","36.1%","±2.2","28,971","±2,602","36.6%","±3.3"
"        4 bedrooms","103,845","±4,231","16.7%","±0.7","440,138","±9,175","12.3%","±0.3","17,859","±2,237","20.7%","±2.6","235,688","±7,518","21.1%","±0.7","195,415","±6,268","22.8%","±0.7","217,295","±6,840","17.6%","±0.6","24,223","±2,399","15.2%","±1.5","14,451","±1,810","13.5%","±1.7","13,371","±1,599","16.9%","±2.0"
"        5 or more bedrooms","25,314","±2,515","4.1%","±0.4","116,997","±5,259","3.3%","±0.1","3,839","±1,343","4.4%","±1.6","59,104","±3,982","5.3%","±0.4","69,618","±4,471","8.1%","±0.5","55,915","±3,257","4.5%","±0.3","5,413","±1,142","3.4%","±0.7","2,118","±720","2.0%","±0.7","4,437","±1,114","5.6%","±1.4"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","585,632","±3,709","585,632","(X)","3,328,398","±9,311","3,328,398","(X)","80,645","±1,718","80,645","(X)","1,044,280","±6,750","1,044,280","(X)","734,948","±6,129","734,948","(X)","1,132,434","±6,683","1,132,434","(X)","146,466","±2,271","146,466","(X)","97,710","±2,076","97,710","(X)","76,075","±1,259","76,075","(X)"
"        Owner-occupied","310,526","±5,902","53.0%","±1.0","1,511,628","±13,492","45.4%","±0.4","42,067","±2,633","52.2%","±3.3","596,413","±7,634","57.1%","±0.7","493,233","±8,649","67.1%","±1.0","609,641","±7,510","53.8%","±0.7","76,433","±2,826","52.2%","±2.0","58,553","±2,714","59.9%","±2.6","38,839","±2,122","51.1%","±2.9"
"        Renter-occupied","275,106","±6,069","47.0%","±1.0","1,816,770","±14,543","54.6%","±0.4","38,578","±2,906","47.8%","±3.3","447,867","±8,057","42.9%","±0.7","241,715","±7,074","32.9%","±1.0","522,793","±9,244","46.2%","±0.7","70,033","±3,482","47.8%","±2.0","39,157","±2,748","40.1%","±2.6","37,236","±2,458","48.9%","±2.9"
"        Average household size of owner-occupied unit","2.95","±0.04","(X)","(X)","3.16","±0.02","(X)","(X)","3.21","±0.13","(X)","(X)","2.96","±0.03","(X)","(X)","3.36","±0.05","(X)","(X)","2.95","±0.03","(X)","(X)","2.85","±0.10","(X)","(X)","2.61","±0.10","(X)","(X)","2.84","±0.10","(X)","(X)"
"        Average household size of renter-occupied unit","2.63","±0.04","(X)","(X)","2.80","±0.01","(X)","(X)","3.53","±0.16","(X)","(X)","3.05","±0.04","(X)","(X)","3.21","±0.07","(X)","(X)","2.77","±0.04","(X)","(X)","2.97","±0.11","(X)","(X)","2.73","±0.14","(X)","(X)","2.73","±0.13","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","585,632","±3,709","585,632","(X)","3,328,398","±9,311","3,328,398","(X)","80,645","±1,718","80,645","(X)","1,044,280","±6,750","1,044,280","(X)","734,948","±6,129","734,948","(X)","1,132,434","±6,683","1,132,434","(X)","146,466","±2,271","146,466","(X)","97,710","±2,076","97,710","(X)","76,075","±1,259","76,075","(X)"
"        Moved in 2017 or later","155,242","±4,811","26.5%","±0.8","805,777","±11,991","24.2%","±0.3","19,328","±2,484","24.0%","±3.0","275,462","±6,968","26.4%","±0.6","195,922","±6,586","26.7%","±0.9","352,516","±7,844","31.1%","±0.6","47,010","±3,414","32.1%","±2.3","21,395","±2,370","21.9%","±2.3","24,452","±2,487","32.1%","±3.0"
"        Moved in 2015 to 2016","74,732","±4,051","12.8%","±0.7","404,330","±10,200","12.1%","±0.3","10,762","±1,833","13.3%","±2.3","125,286","±5,483","12.0%","±0.5","108,777","±5,807","14.8%","±0.8","149,618","±6,905","13.2%","±0.6","14,706","±2,025","10.0%","±1.4","9,960","±1,886","10.2%","±1.9","11,099","±1,877","14.6%","±2.5"
"        Moved in 2010 to 2014","115,424","±4,224","19.7%","±0.7","623,276","±12,940","18.7%","±0.4","18,755","±1,903","23.3%","±2.3","181,986","±6,334","17.4%","±0.6","139,270","±5,297","18.9%","±0.7","195,653","±6,448","17.3%","±0.6","23,671","±2,470","16.2%","±1.7","19,152","±2,435","19.6%","±2.5","13,288","±2,131","17.5%","±2.8"
"        Moved in 2000 to 2009","116,673","±5,006","19.9%","±0.8","680,934","±13,606","20.5%","±0.4","14,797","±2,239","18.3%","±2.7","213,564","±6,758","20.5%","±0.6","174,606","±5,922","23.8%","±0.8","204,201","±7,604","18.0%","±0.7","27,358","±2,616","18.7%","±1.8","20,517","±1,790","21.0%","±1.9","11,713","±1,476","15.4%","±1.9"
"        Moved in 1990 to 1999","60,487","±3,187","10.3%","±0.5","408,419","±8,536","12.3%","±0.3","8,358","±1,572","10.4%","±1.9","134,040","±4,704","12.8%","±0.5","70,827","±3,988","9.6%","±0.5","115,897","±5,326","10.2%","±0.5","15,800","±1,855","10.8%","±1.2","14,535","±1,711","14.9%","±1.7","8,168","±1,279","10.7%","±1.7"
"        Moved in 1989 and earlier","63,074","±2,880","10.8%","±0.5","405,662","±7,660","12.2%","±0.2","8,645","±1,394","10.7%","±1.7","113,942","±4,763","10.9%","±0.4","45,546","±3,148","6.2%","±0.4","114,549","±4,833","10.1%","±0.4","17,921","±1,754","12.2%","±1.2","12,151","±1,380","12.4%","±1.4","7,355","±1,094","9.7%","±1.4"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","585,632","±3,709","585,632","(X)","3,328,398","±9,311","3,328,398","(X)","80,645","±1,718","80,645","(X)","1,044,280","±6,750","1,044,280","(X)","734,948","±6,129","734,948","(X)","1,132,434","±6,683","1,132,434","(X)","146,466","±2,271","146,466","(X)","97,710","±2,076","97,710","(X)","76,075","±1,259","76,075","(X)"
"        No vehicles available","53,446","±3,510","9.1%","±0.6","289,912","±8,863","8.7%","±0.3","4,374","±1,226","5.4%","±1.5","44,585","±3,524","4.3%","±0.3","30,985","±2,991","4.2%","±0.4","65,028","±4,366","5.7%","±0.4","11,908","±1,864","8.1%","±1.2","5,124","±1,288","5.2%","±1.3","5,534","±1,144","7.3%","±1.5"
"        1 vehicle available","192,335","±5,588","32.8%","±0.9","1,098,089","±12,702","33.0%","±0.4","20,685","±2,064","25.6%","±2.5","268,372","±7,578","25.7%","±0.7","199,215","±7,317","27.1%","±1.0","329,104","±9,353","29.1%","±0.8","44,937","±3,119","30.7%","±2.2","26,148","±2,755","26.8%","±2.8","23,274","±2,290","30.6%","±2.9"
"        2 vehicles available","211,548","±5,305","36.1%","±0.9","1,167,124","±13,243","35.1%","±0.4","29,476","±2,524","36.6%","±3.1","432,425","±7,794","41.4%","±0.7","270,086","±6,405","36.7%","±0.8","451,646","±10,221","39.9%","±0.9","53,958","±3,100","36.8%","±2.0","35,019","±2,404","35.8%","±2.4","27,641","±2,249","36.3%","±2.9"
"        3 or more vehicles available","128,303","±4,219","21.9%","±0.7","773,273","±11,321","23.2%","±0.3","26,110","±2,518","32.4%","±3.0","298,898","±7,190","28.6%","±0.7","234,662","±7,686","31.9%","±1.0","286,656","±7,770","25.3%","±0.7","35,663","±2,426","24.3%","±1.6","31,419","±2,593","32.2%","±2.5","19,626","±2,075","25.8%","±2.8"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","585,632","±3,709","585,632","(X)","3,328,398","±9,311","3,328,398","(X)","80,645","±1,718","80,645","(X)","1,044,280","±6,750","1,044,280","(X)","734,948","±6,129","734,948","(X)","1,132,434","±6,683","1,132,434","(X)","146,466","±2,271","146,466","(X)","97,710","±2,076","97,710","(X)","76,075","±1,259","76,075","(X)"
"        Utility gas","417,418","±7,421","71.3%","±1.1","2,184,884","±12,932","65.6%","±0.4","40,845","±2,577","50.6%","±3.0","741,362","±10,116","71.0%","±0.8","531,319","±9,087","72.3%","±1.0","675,615","±8,950","59.7%","±0.7","106,778","±3,143","72.9%","±2.1","59,673","±2,979","61.1%","±2.6","46,405","±2,194","61.0%","±2.8"
"        Bottled, tank, or LP gas","6,482","±1,192","1.1%","±0.2","42,080","±3,226","1.3%","±0.1","2,865","±654","3.6%","±0.8","13,045","±1,509","1.2%","±0.1","22,820","±2,301","3.1%","±0.3","36,340","±3,290","3.2%","±0.3","3,490","±984","2.4%","±0.7","9,315","±977","9.5%","±1.0","1,895","±579","2.5%","±0.8"
"        Electricity","144,327","±5,800","24.6%","±1.0","863,293","±11,105","25.9%","±0.3","33,315","±2,448","41.3%","±2.9","250,396","±7,254","24.0%","±0.7","155,838","±6,249","21.2%","±0.9","348,069","±9,066","30.7%","±0.8","28,882","±2,461","19.7%","±1.6","20,909","±2,413","21.4%","±2.5","23,917","±2,385","31.4%","±3.0"
"        Fuel oil, kerosene, etc.","192","±195","0.0%","±0.1","3,478","±883","0.1%","±0.1","30","±51","0.0%","±0.1","339","±236","0.0%","±0.1","350","±269","0.0%","±0.1","497","±310","0.0%","±0.1","0","±216","0.0%","±0.1","148","±139","0.2%","±0.1","91","±161","0.1%","±0.2"
"        Coal or coke","263","±253","0.0%","±0.1","327","±205","0.0%","±0.1","0","±216","0.0%","±0.2","157","±169","0.0%","±0.1","55","±74","0.0%","±0.1","41","±68","0.0%","±0.1","0","±216","0.0%","±0.1","296","±495","0.3%","±0.5","0","±216","0.0%","±0.3"
"        Wood","1,387","±583","0.2%","±0.1","7,136","±1,422","0.2%","±0.1","1,234","±537","1.5%","±0.7","1,290","±463","0.1%","±0.1","4,116","±1,187","0.6%","±0.2","6,082","±1,105","0.5%","±0.1","583","±315","0.4%","±0.2","3,840","±914","3.9%","±0.9","1,229","±621","1.6%","±0.8"
"        Solar energy","2,843","±716","0.5%","±0.1","14,251","±1,694","0.4%","±0.1","908","±468","1.1%","±0.6","5,802","±1,191","0.6%","±0.1","6,950","±1,230","0.9%","±0.2","16,537","±1,663","1.5%","±0.1","752","±318","0.5%","±0.2","817","±442","0.8%","±0.5","1,721","±799","2.3%","±1.1"
